year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,5
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,9
1942,0,0
1943,0,0
1944,0,5
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,5
1951,0,0
1952,0,9
1953,0,0
1954,0,8
1955,0,9
1956,0,66
1957,0,65
1958,0,94
1959,0,52
1960,0,43
1961,0,42
1962,0,36
1963,0,22
1964,0,24
1965,0,15
1966,0,17
1967,0,26
1968,0,33
1969,0,31
1970,0,28
1971,0,24
1972,0,41
1973,0,27
1974,0,52
1975,0,34
1976,0,39
1977,0,58
1978,0,57
1979,0,146
1980,0,92
1981,0,81
1982,5,109
1983,0,133
1984,0,140
1985,0,176
1986,6,210
1987,7,217
1988,7,228
1989,0,264
1990,5,334
1991,9,332
1992,8,343
1993,0,333
1994,5,326
1995,11,376
1996,11,468
1997,17,568
1998,27,667
1999,22,788
2000,24,938
2001,29,976
2002,26,1070
2003,29,1329
2004,30,1487
2005,26,1796
2006,30,2143
2007,20,2033
2008,19,2193
2009,28,2343
2010,24,2675
2011,38,3733
2012,36,4723
2013,45,6389
2014,42,6292
2015,35,5349
2016,37,5197
2017,22,4640
2018,32,4288
2019,33,4067
