year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,6
1910,0,6
1911,0,0
1912,0,6
1913,0,0
1914,0,7
1915,0,5
1916,0,9
1917,0,8
1918,0,11
1919,0,13
1920,0,25
1921,0,14
1922,0,16
1923,0,23
1924,0,18
1925,0,31
1926,0,20
1927,0,19
1928,0,23
1929,0,20
1930,0,17
1931,0,20
1932,0,18
1933,0,14
1934,0,18
1935,0,22
1936,0,16
1937,0,19
1938,0,13
1939,0,17
1940,0,26
1941,0,13
1942,0,21
1943,0,28
1944,0,31
1945,0,16
1946,0,30
1947,0,13
1948,0,26
1949,0,25
1950,0,31
1951,0,20
1952,0,23
1953,0,33
1954,0,14
1955,0,26
1956,0,20
1957,0,27
1958,0,22
1959,0,25
1960,0,21
1961,0,31
1962,0,27
1963,0,23
1964,0,33
1965,0,28
1966,0,26
1967,0,27
1968,0,36
1969,0,36
1970,0,33
1971,0,33
1972,0,38
1973,0,29
1974,0,29
1975,0,26
1976,0,40
1977,0,32
1978,0,24
1979,0,28
1980,0,32
1981,0,36
1982,0,31
1983,0,35
1984,0,41
1985,0,41
1986,0,29
1987,0,34
1988,0,34
1989,0,41
1990,0,43
1991,0,36
1992,0,35
1993,0,41
1994,0,36
1995,0,31
1996,0,31
1997,0,32
1998,0,32
1999,0,30
2000,0,38
2001,0,39
2002,0,34
2003,0,30
2004,0,25
2005,0,33
2006,0,35
2007,0,26
2008,0,25
2009,0,25
2010,0,21
2011,0,19
2012,0,23
2013,0,26
2014,0,26
2015,0,23
2016,0,26
2017,0,19
2018,0,14
2019,0,19
