year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,5,0
1914,0,0
1915,0,0
1916,0,0
1917,5,0
1918,8,0
1919,9,0
1920,0,0
1921,16,0
1922,8,0
1923,13,0
1924,18,0
1925,20,0
1926,24,0
1927,33,0
1928,28,0
1929,36,0
1930,45,0
1931,49,0
1932,35,0
1933,56,0
1934,71,0
1935,54,0
1936,93,0
1937,104,0
1938,77,0
1939,62,0
1940,82,0
1941,65,0
1942,110,0
1943,104,0
1944,117,0
1945,117,0
1946,145,0
1947,158,0
1948,145,0
1949,150,0
1950,158,0
1951,174,0
1952,170,0
1953,191,0
1954,174,0
1955,157,0
1956,164,0
1957,142,0
1958,127,0
1959,105,0
1960,91,0
1961,166,0
1962,101,0
1963,78,0
1964,122,0
1965,92,0
1966,93,0
1967,70,0
1968,69,0
1969,57,0
1970,62,0
1971,52,0
1972,40,0
1973,41,0
1974,49,0
1975,44,0
1976,42,0
1977,139,0
1978,227,0
1979,223,0
1980,233,0
1981,337,0
1982,381,0
1983,423,0
1984,395,0
1985,392,0
1986,447,0
1987,488,0
1988,481,0
1989,479,5
1990,440,0
1991,485,0
1992,440,0
1993,435,0
1994,396,0
1995,350,0
1996,380,0
1997,303,0
1998,277,0
1999,300,0
2000,282,0
2001,267,0
2002,188,0
2003,234,0
2004,216,0
2005,209,0
2006,199,0
2007,220,0
2008,156,0
2009,172,0
2010,155,0
2011,140,0
2012,115,0
2013,110,0
2014,86,0
2015,95,0
2016,90,0
2017,86,0
2018,87,0
2019,98,0
