year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,5
1913,0,6
1914,5,9
1915,0,13
1916,7,11
1917,6,8
1918,7,16
1919,10,14
1920,8,16
1921,0,16
1922,6,20
1923,11,21
1924,15,26
1925,14,33
1926,13,30
1927,22,28
1928,17,24
1929,15,21
1930,26,21
1931,20,23
1932,30,21
1933,31,18
1934,42,13
1935,43,9
1936,51,17
1937,41,17
1938,49,18
1939,54,17
1940,43,5
1941,52,13
1942,50,20
1943,65,21
1944,50,10
1945,69,7
1946,86,16
1947,99,13
1948,94,19
1949,139,14
1950,236,18
1951,172,22
1952,135,18
1953,121,21
1954,132,26
1955,127,21
1956,124,25
1957,108,24
1958,133,24
1959,133,39
1960,139,26
1961,164,34
1962,152,26
1963,117,30
1964,111,26
1965,91,29
1966,91,21
1967,82,32
1968,70,35
1969,82,35
1970,57,36
1971,73,56
1972,63,30
1973,40,29
1974,44,21
1975,44,26
1976,54,29
1977,50,24
1978,61,31
1979,52,33
1980,58,34
1981,47,42
1982,47,44
1983,33,18
1984,30,36
1985,34,37
1986,32,40
1987,40,33
1988,34,37
1989,28,29
1990,30,34
1991,25,23
1992,14,23
1993,20,23
1994,12,26
1995,10,30
1996,5,23
1997,5,27
1998,7,21
1999,0,21
2000,9,17
2001,8,16
2002,0,20
2003,6,17
2004,7,23
2005,0,16
2006,0,17
2007,0,24
2008,0,15
2009,0,13
2010,0,8
2011,0,9
2012,0,10
2013,0,8
2014,0,17
2015,0,13
2016,0,14
2017,0,20
2018,0,15
2019,0,11
