year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,11,0
1925,0,0
1926,10,0
1927,11,0
1928,10,0
1929,13,0
1930,13,0
1931,19,0
1932,20,0
1933,15,0
1934,18,0
1935,22,0
1936,21,0
1937,10,0
1938,16,0
1939,22,0
1940,16,0
1941,15,0
1942,21,0
1943,32,0
1944,26,0
1945,27,0
1946,27,0
1947,34,0
1948,37,0
1949,15,0
1950,28,0
1951,17,0
1952,16,0
1953,20,0
1954,27,0
1955,15,0
1956,24,0
1957,35,0
1958,35,0
1959,29,0
1960,51,0
1961,65,0
1962,87,0
1963,32,0
1964,48,0
1965,42,0
1966,39,0
1967,20,0
1968,22,0
1969,21,0
1970,25,0
1971,19,0
1972,14,0
1973,9,0
1974,25,0
1975,16,0
1976,21,0
1977,7,0
1978,15,0
1979,22,0
1980,15,0
1981,14,0
1982,23,0
1983,16,0
1984,12,0
1985,12,0
1986,11,0
1987,12,0
1988,18,0
1989,16,0
1990,10,0
1991,7,0
1992,9,0
1993,0,0
1994,8,0
1995,0,0
1996,6,0
1997,0,0
1998,0,0
1999,9,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
