year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,5
1903,0,0
1904,0,0
1905,0,0
1906,0,5
1907,0,0
1908,0,0
1909,0,6
1910,0,9
1911,8,0
1912,8,8
1913,8,11
1914,8,21
1915,11,22
1916,15,18
1917,20,22
1918,20,33
1919,12,24
1920,19,29
1921,25,18
1922,27,21
1923,13,21
1924,32,14
1925,31,26
1926,31,14
1927,49,23
1928,50,33
1929,46,28
1930,60,29
1931,104,49
1932,119,48
1933,115,86
1934,161,146
1935,187,195
1936,229,272
1937,239,245
1938,269,317
1939,304,307
1940,331,350
1941,445,459
1942,534,512
1943,641,551
1944,611,544
1945,864,496
1946,1149,566
1947,1358,676
1948,1262,640
1949,1524,551
1950,1724,608
1951,2185,732
1952,2482,626
1953,2607,580
1954,2993,769
1955,2769,650
1956,3200,504
1957,2988,429
1958,2629,428
1959,2587,388
1960,2448,369
1961,2032,347
1962,1778,289
1963,1562,228
1964,1259,215
1965,937,219
1966,842,201
1967,746,176
1968,656,177
1969,570,163
1970,498,163
1971,412,143
1972,377,128
1973,296,125
1974,324,102
1975,261,97
1976,254,146
1977,231,112
1978,245,132
1979,197,132
1980,186,114
1981,164,118
1982,163,143
1983,143,113
1984,124,145
1985,90,130
1986,70,117
1987,75,101
1988,66,109
1989,46,102
1990,46,126
1991,41,101
1992,29,95
1993,16,95
1994,18,105
1995,27,107
1996,18,101
1997,15,77
1998,12,80
1999,8,107
2000,17,192
2001,15,214
2002,6,175
2003,10,191
2004,9,235
2005,10,214
2006,6,279
2007,6,188
2008,0,206
2009,8,160
2010,5,135
2011,7,116
2012,7,107
2013,7,111
2014,0,84
2015,8,93
2016,5,84
2017,0,63
2018,0,82
2019,5,54
