year,F,M
1880,6,0
1881,9,0
1882,0,0
1883,0,0
1884,6,0
1885,7,0
1886,8,0
1887,0,0
1888,15,0
1889,13,0
1890,11,0
1891,10,0
1892,20,0
1893,9,0
1894,9,0
1895,15,0
1896,10,0
1897,13,0
1898,10,0
1899,17,0
1900,19,0
1901,19,0
1902,6,0
1903,17,0
1904,22,0
1905,24,0
1906,14,0
1907,22,0
1908,27,0
1909,26,0
1910,26,0
1911,32,0
1912,49,0
1913,52,0
1914,77,0
1915,113,0
1916,96,0
1917,99,0
1918,139,0
1919,122,0
1920,142,0
1921,160,0
1922,168,0
1923,148,0
1924,158,0
1925,183,0
1926,167,0
1927,171,0
1928,151,0
1929,163,0
1930,195,0
1931,250,0
1932,256,0
1933,288,0
1934,278,0
1935,262,0
1936,281,0
1937,296,0
1938,309,0
1939,308,0
1940,318,0
1941,287,0
1942,343,0
1943,343,0
1944,315,0
1945,301,0
1946,382,0
1947,412,0
1948,415,0
1949,502,0
1950,551,0
1951,599,0
1952,545,0
1953,699,0
1954,694,0
1955,666,0
1956,618,0
1957,642,0
1958,546,0
1959,537,0
1960,561,0
1961,577,0
1962,588,0
1963,541,0
1964,586,0
1965,484,0
1966,501,0
1967,453,0
1968,451,0
1969,479,0
1970,436,0
1971,424,7
1972,363,0
1973,359,0
1974,341,0
1975,359,0
1976,313,0
1977,328,0
1978,299,0
1979,326,0
1980,314,0
1981,329,0
1982,385,5
1983,325,0
1984,263,0
1985,280,0
1986,325,10
1987,313,5
1988,315,5
1989,347,5
1990,355,5
1991,320,0
1992,316,0
1993,301,0
1994,261,0
1995,212,0
1996,230,0
1997,220,0
1998,214,0
1999,227,0
2000,188,0
2001,200,0
2002,174,0
2003,168,0
2004,160,0
2005,139,0
2006,134,0
2007,132,0
2008,114,0
2009,85,0
2010,101,0
2011,83,0
2012,78,0
2013,72,0
2014,60,0
2015,53,0
2016,54,0
2017,46,0
2018,42,0
2019,35,0
