year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,5,0
1907,0,0
1908,5,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,6,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,5,0
1919,5,0
1920,0,0
1921,0,0
1922,6,0
1923,6,0
1924,7,0
1925,6,0
1926,5,0
1927,6,0
1928,0,0
1929,11,0
1930,0,0
1931,7,0
1932,6,0
1933,0,0
1934,6,0
1935,8,0
1936,7,0
1937,10,0
1938,12,0
1939,9,0
1940,11,0
1941,0,0
1942,16,0
1943,12,0
1944,18,0
1945,11,0
1946,12,0
1947,14,0
1948,15,0
1949,20,0
1950,16,0
1951,15,0
1952,18,0
1953,13,0
1954,22,0
1955,20,0
1956,22,0
1957,22,0
1958,13,0
1959,13,0
1960,18,0
1961,15,0
1962,12,0
1963,9,0
1964,18,0
1965,20,0
1966,7,0
1967,11,0
1968,17,0
1969,15,0
1970,9,0
1971,8,0
1972,11,0
1973,9,0
1974,8,0
1975,8,0
1976,13,0
1977,14,0
1978,10,0
1979,14,0
1980,9,0
1981,14,0
1982,13,0
1983,16,0
1984,6,0
1985,15,0
1986,17,0
1987,18,0
1988,16,0
1989,19,0
1990,15,0
1991,25,0
1992,9,0
1993,16,0
1994,12,0
1995,6,0
1996,10,0
1997,10,0
1998,9,0
1999,13,0
2000,11,0
2001,5,0
2002,10,0
2003,6,0
2004,8,0
2005,8,0
2006,7,0
2007,0,0
2008,5,0
2009,0,0
2010,0,0
2011,5,0
2012,5,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
