year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,5,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,10,0
1907,5,0
1908,8,0
1909,8,0
1910,8,0
1911,16,0
1912,27,0
1913,49,0
1914,54,0
1915,87,0
1916,134,0
1917,175,0
1918,156,0
1919,169,0
1920,213,0
1921,256,0
1922,214,0
1923,198,0
1924,188,0
1925,195,0
1926,137,0
1927,118,0
1928,107,0
1929,85,0
1930,105,0
1931,114,0
1932,117,0
1933,129,0
1934,110,0
1935,125,0
1936,115,0
1937,134,0
1938,183,0
1939,177,0
1940,207,0
1941,235,0
1942,281,0
1943,321,0
1944,319,0
1945,405,0
1946,490,0
1947,559,0
1948,519,0
1949,621,0
1950,596,0
1951,551,0
1952,539,0
1953,575,0
1954,911,0
1955,1178,0
1956,1470,0
1957,1525,0
1958,1328,0
1959,1128,0
1960,909,0
1961,981,5
1962,877,0
1963,750,0
1964,610,5
1965,488,0
1966,420,0
1967,349,0
1968,259,0
1969,228,0
1970,189,5
1971,165,0
1972,141,0
1973,121,0
1974,112,0
1975,117,0
1976,111,0
1977,119,0
1978,116,0
1979,159,0
1980,143,0
1981,149,0
1982,137,0
1983,126,0
1984,130,5
1985,140,5
1986,93,7
1987,119,0
1988,142,0
1989,133,0
1990,128,0
1991,130,0
1992,93,0
1993,86,0
1994,120,0
1995,100,0
1996,97,0
1997,85,0
1998,68,0
1999,91,0
2000,98,0
2001,81,0
2002,65,0
2003,66,0
2004,91,0
2005,64,0
2006,67,0
2007,65,0
2008,74,0
2009,65,0
2010,70,0
2011,76,0
2012,58,0
2013,76,0
2014,85,0
2015,81,0
2016,90,0
2017,75,0
2018,80,0
2019,78,0
