year,Girls,Boys
1880,0,0
1881,0,0
1882,5,0
1883,0,0
1884,0,0
1885,0,0
1886,5,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,11,0
1895,7,0
1896,9,0
1897,0,0
1898,0,0
1899,0,0
1900,7,0
1901,7,0
1902,13,0
1903,0,0
1904,5,0
1905,10,0
1906,7,0
1907,10,0
1908,14,0
1909,13,0
1910,9,0
1911,8,0
1912,11,0
1913,15,0
1914,18,0
1915,26,0
1916,33,0
1917,39,0
1918,34,0
1919,28,0
1920,35,0
1921,31,0
1922,40,0
1923,43,0
1924,51,0
1925,54,0
1926,48,0
1927,41,0
1928,64,0
1929,47,0
1930,60,0
1931,57,0
1932,42,0
1933,51,0
1934,58,0
1935,69,0
1936,67,0
1937,56,0
1938,66,0
1939,69,0
1940,69,0
1941,69,0
1942,81,0
1943,60,0
1944,56,0
1945,66,0
1946,52,0
1947,93,0
1948,63,0
1949,77,0
1950,88,0
1951,81,0
1952,96,0
1953,84,0
1954,92,0
1955,70,0
1956,83,0
1957,85,0
1958,72,0
1959,86,0
1960,82,0
1961,104,0
1962,86,0
1963,90,0
1964,94,0
1965,85,0
1966,79,0
1967,82,0
1968,74,0
1969,68,0
1970,77,0
1971,77,0
1972,69,0
1973,76,0
1974,55,0
1975,45,0
1976,51,0
1977,56,0
1978,55,0
1979,39,0
1980,52,0
1981,54,0
1982,40,0
1983,41,0
1984,43,0
1985,33,0
1986,44,0
1987,50,0
1988,49,0
1989,47,0
1990,43,0
1991,39,0
1992,18,0
1993,26,0
1994,32,0
1995,17,0
1996,14,0
1997,19,0
1998,15,0
1999,11,0
2000,13,0
2001,12,0
2002,8,0
2003,0,0
2004,8,0
2005,9,0
2006,5,0
2007,6,0
2008,6,0
2009,0,0
2010,5,0
2011,0,0
2012,6,0
2013,0,0
2014,5,0
2015,8,0
2016,0,0
2017,5,0
2018,0,0
2019,0,0
