year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,5
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,5
1908,0,0
1909,0,8
1910,0,7
1911,0,0
1912,0,15
1913,0,15
1914,0,16
1915,0,13
1916,0,17
1917,0,17
1918,0,15
1919,0,14
1920,0,10
1921,0,13
1922,0,23
1923,0,18
1924,0,25
1925,0,29
1926,0,23
1927,5,29
1928,0,26
1929,8,21
1930,0,29
1931,0,16
1932,0,22
1933,0,27
1934,0,27
1935,0,25
1936,0,34
1937,0,22
1938,0,40
1939,0,53
1940,0,128
1941,7,204
1942,5,281
1943,6,313
1944,8,336
1945,12,352
1946,7,553
1947,0,744
1948,8,794
1949,13,1049
1950,7,1217
1951,11,1631
1952,18,2188
1953,11,3041
1954,16,3940
1955,15,5459
1956,29,6566
1957,36,7506
1958,32,6840
1959,33,7474
1960,46,7657
1961,46,8917
1962,49,9275
1963,52,8487
1964,42,8359
1965,36,7735
1966,40,7896
1967,49,7231
1968,46,7224
1969,45,6740
1970,41,6704
1971,32,6101
1972,31,5066
1973,30,4406
1974,27,4366
1975,28,3904
1976,22,3567
1977,21,3563
1978,31,3543
1979,29,3358
1980,28,3324
1981,22,3335
1982,21,3312
1983,22,3159
1984,16,3025
1985,33,2946
1986,26,2770
1987,26,2646
1988,20,2584
1989,7,2478
1990,13,2321
1991,0,2121
1992,0,1822
1993,0,1626
1994,0,1417
1995,5,1273
1996,0,1119
1997,0,1080
1998,0,965
1999,0,923
2000,0,837
2001,0,779
2002,0,734
2003,0,697
2004,0,623
2005,0,607
2006,0,643
2007,0,553
2008,0,533
2009,0,478
2010,0,446
2011,0,408
2012,0,372
2013,0,395
2014,0,388
2015,0,303
2016,0,314
2017,0,312
2018,0,258
2019,0,241
