year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,7
1924,0,0
1925,0,12
1926,0,10
1927,0,14
1928,0,10
1929,0,12
1930,0,17
1931,0,14
1932,0,15
1933,0,17
1934,0,19
1935,5,30
1936,5,27
1937,0,29
1938,0,28
1939,0,35
1940,0,38
1941,0,37
1942,0,53
1943,0,43
1944,8,52
1945,0,66
1946,7,72
1947,6,50
1948,5,67
1949,5,79
1950,0,72
1951,0,87
1952,5,100
1953,7,101
1954,0,108
1955,6,112
1956,5,98
1957,7,92
1958,5,108
1959,0,120
1960,5,157
1961,7,187
1962,0,172
1963,0,201
1964,0,213
1965,5,279
1966,0,287
1967,0,398
1968,0,640
1969,11,2084
1970,25,4321
1971,44,7496
1972,33,7402
1973,60,9365
1974,92,13300
1975,73,15203
1976,126,20139
1977,139,21614
1978,123,19511
1979,134,21011
1980,140,19901
1981,108,19115
1982,107,16470
1983,91,14259
1984,87,13256
1985,84,13449
1986,120,16265
1987,109,14474
1988,91,13168
1989,78,13079
1990,43,11686
1991,38,10401
1992,30,9042
1993,21,8572
1994,28,8228
1995,16,7084
1996,18,6411
1997,8,5803
1998,18,5540
1999,14,5016
2000,15,4737
2001,12,4269
2002,6,4165
2003,7,3889
2004,19,3863
2005,10,3484
2006,7,3444
2007,6,3428
2008,7,3251
2009,0,2940
2010,0,2822
2011,0,2524
2012,6,2834
2013,0,2524
2014,5,2518
2015,0,2389
2016,0,2129
2017,5,2042
2018,5,1960
2019,0,1754
