year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,5
1937,0,0
1938,0,7
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,6
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,6
1957,0,7
1958,0,0
1959,0,6
1960,0,0
1961,0,5
1962,0,0
1963,0,0
1964,0,9
1965,0,8
1966,0,19
1967,0,27
1968,0,42
1969,0,46
1970,0,62
1971,0,93
1972,0,115
1973,0,105
1974,0,148
1975,0,177
1976,0,165
1977,0,191
1978,0,232
1979,0,259
1980,0,296
1981,0,284
1982,0,275
1983,0,274
1984,0,224
1985,0,213
1986,0,197
1987,0,190
1988,0,172
1989,0,145
1990,0,169
1991,0,133
1992,0,133
1993,0,128
1994,0,116
1995,0,98
1996,0,107
1997,0,155
1998,0,151
1999,0,134
2000,0,113
2001,0,78
2002,0,59
2003,0,48
2004,0,38
2005,0,29
2006,0,28
2007,0,56
2008,0,20
2009,0,37
2010,0,32
2011,0,22
2012,0,18
2013,0,8
2014,0,11
2015,0,10
2016,0,7
2017,0,14
2018,0,8
2019,0,8
