year,Girls,Boys
1880,0,103
1881,0,85
1882,0,122
1883,0,112
1884,5,124
1885,5,119
1886,0,140
1887,0,124
1888,6,132
1889,0,121
1890,5,114
1891,7,87
1892,0,108
1893,0,107
1894,0,104
1895,0,102
1896,0,87
1897,6,110
1898,0,108
1899,5,86
1900,6,128
1901,0,85
1902,6,86
1903,0,81
1904,0,102
1905,0,85
1906,0,67
1907,0,88
1908,0,88
1909,0,87
1910,0,103
1911,5,106
1912,0,171
1913,0,180
1914,0,258
1915,7,577
1916,8,485
1917,0,352
1918,0,387
1919,12,355
1920,9,333
1921,5,338
1922,7,248
1923,0,275
1924,0,262
1925,5,268
1926,0,239
1927,5,268
1928,5,198
1929,0,224
1930,0,208
1931,0,156
1932,0,195
1933,0,177
1934,0,166
1935,0,167
1936,0,158
1937,0,156
1938,0,151
1939,0,165
1940,0,170
1941,0,163
1942,0,190
1943,5,190
1944,0,180
1945,0,167
1946,0,220
1947,0,261
1948,0,222
1949,0,235
1950,0,193
1951,0,232
1952,0,248
1953,0,238
1954,0,245
1955,0,267
1956,5,270
1957,0,271
1958,0,254
1959,0,228
1960,0,288
1961,0,299
1962,0,293
1963,0,287
1964,0,222
1965,5,183
1966,0,200
1967,0,185
1968,0,167
1969,0,190
1970,0,190
1971,0,233
1972,0,242
1973,0,283
1974,6,309
1975,0,284
1976,6,277
1977,0,311
1978,10,347
1979,10,306
1980,0,292
1981,0,277
1982,6,337
1983,9,306
1984,9,261
1985,8,262
1986,7,241
1987,6,216
1988,9,199
1989,10,174
1990,9,214
1991,16,183
1992,6,146
1993,12,149
1994,6,150
1995,6,136
1996,13,144
1997,8,115
1998,13,91
1999,0,96
2000,12,77
2001,10,82
2002,13,70
2003,6,65
2004,9,82
2005,8,79
2006,10,60
2007,15,66
2008,10,55
2009,0,45
2010,0,32
2011,5,37
2012,0,33
2013,7,28
2014,5,32
2015,0,35
2016,0,30
2017,5,22
2018,0,33
2019,7,21
