year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,6
1916,0,5
1917,0,0
1918,0,0
1919,0,8
1920,0,0
1921,0,6
1922,0,8
1923,0,11
1924,0,6
1925,0,11
1926,0,11
1927,0,9
1928,0,7
1929,0,10
1930,0,15
1931,0,8
1932,0,13
1933,0,7
1934,0,11
1935,0,9
1936,0,7
1937,0,10
1938,0,9
1939,0,11
1940,0,8
1941,0,8
1942,0,5
1943,0,12
1944,0,10
1945,0,11
1946,0,9
1947,0,15
1948,0,9
1949,0,6
1950,0,8
1951,0,12
1952,0,7
1953,0,6
1954,0,10
1955,0,8
1956,0,6
1957,0,10
1958,0,7
1959,0,13
1960,0,14
1961,0,7
1962,0,6
1963,0,7
1964,0,12
1965,0,11
1966,0,6
1967,0,12
1968,5,7
1969,0,10
1970,5,16
1971,0,21
1972,0,24
1973,5,24
1974,7,30
1975,14,24
1976,14,48
1977,12,49
1978,21,58
1979,23,58
1980,31,90
1981,28,89
1982,25,95
1983,23,58
1984,32,62
1985,42,88
1986,41,103
1987,35,107
1988,32,121
1989,67,124
1990,57,180
1991,78,152
1992,71,188
1993,80,183
1994,81,168
1995,77,150
1996,52,149
1997,59,137
1998,45,93
1999,44,117
2000,45,81
2001,46,80
2002,52,97
2003,36,108
2004,40,94
2005,45,82
2006,36,78
2007,38,90
2008,43,94
2009,43,83
2010,30,62
2011,42,55
2012,32,38
2013,32,53
2014,49,36
2015,35,34
2016,33,27
2017,44,23
2018,52,25
2019,33,21
