year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,5,0
1945,0,0
1946,0,0
1947,15,0
1948,12,0
1949,5,0
1950,6,0
1951,6,0
1952,11,0
1953,7,0
1954,10,0
1955,7,0
1956,12,0
1957,14,0
1958,7,0
1959,7,0
1960,13,0
1961,15,0
1962,22,0
1963,25,0
1964,31,0
1965,28,0
1966,31,0
1967,43,0
1968,78,0
1969,48,0
1970,75,0
1971,66,0
1972,101,0
1973,93,0
1974,85,0
1975,89,0
1976,252,0
1977,1055,10
1978,1341,8
1979,1507,6
1980,1649,9
1981,2081,10
1982,3055,14
1983,2514,17
1984,2622,14
1985,2476,12
1986,2588,12
1987,2793,12
1988,2746,10
1989,2921,18
1990,2677,13
1991,2377,5
1992,2041,0
1993,1980,8
1994,1542,5
1995,1503,5
1996,1462,0
1997,1849,0
1998,2015,0
1999,2280,0
2000,2779,10
2001,2846,0
2002,2734,0
2003,2425,5
2004,2179,8
2005,2121,5
2006,2004,6
2007,1787,0
2008,1904,0
2009,2038,5
2010,1818,0
2011,1430,0
2012,1102,0
2013,945,0
2014,848,0
2015,721,0
2016,602,0
2017,524,0
2018,383,0
2019,352,0
