year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,5,0
1941,0,0
1942,6,0
1943,5,0
1944,7,0
1945,0,0
1946,6,0
1947,13,0
1948,16,0
1949,11,0
1950,11,0
1951,19,0
1952,25,0
1953,23,0
1954,42,0
1955,49,0
1956,60,0
1957,83,0
1958,70,5
1959,78,0
1960,95,0
1961,91,0
1962,84,0
1963,68,0
1964,72,0
1965,70,0
1966,90,0
1967,74,0
1968,71,0
1969,87,0
1970,86,0
1971,101,0
1972,79,0
1973,102,0
1974,80,0
1975,87,0
1976,72,0
1977,68,0
1978,73,0
1979,52,5
1980,62,0
1981,48,0
1982,49,0
1983,51,0
1984,44,0
1985,43,0
1986,37,0
1987,37,0
1988,35,0
1989,31,0
1990,28,0
1991,20,0
1992,20,0
1993,28,0
1994,28,0
1995,15,0
1996,20,0
1997,27,0
1998,41,0
1999,28,0
2000,38,0
2001,31,0
2002,19,0
2003,21,6
2004,15,0
2005,16,0
2006,18,0
2007,13,6
2008,15,0
2009,16,0
2010,12,6
2011,9,5
2012,10,0
2013,7,0
2014,8,0
2015,7,0
2016,8,0
2017,0,0
2018,10,0
2019,7,0
