year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,6
1916,0,9
1917,0,0
1918,7,0
1919,7,8
1920,0,5
1921,11,8
1922,6,12
1923,8,5
1924,9,14
1925,8,11
1926,6,15
1927,5,14
1928,7,19
1929,6,16
1930,5,24
1931,7,24
1932,12,28
1933,14,22
1934,11,26
1935,9,35
1936,12,31
1937,11,38
1938,11,31
1939,9,50
1940,5,64
1941,8,52
1942,22,96
1943,14,131
1944,20,137
1945,20,120
1946,16,121
1947,14,174
1948,15,153
1949,15,154
1950,27,188
1951,26,196
1952,17,241
1953,28,329
1954,30,501
1955,26,695
1956,29,947
1957,43,1036
1958,40,1070
1959,26,1120
1960,23,1206
1961,29,1257
1962,43,1527
1963,18,1383
1964,33,1365
1965,26,1121
1966,55,1031
1967,83,1068
1968,145,1111
1969,142,1190
1970,198,1138
1971,167,1070
1972,185,911
1973,208,873
1974,232,855
1975,224,840
1976,203,1161
1977,197,1213
1978,148,1072
1979,173,1095
1980,126,1154
1981,101,1072
1982,74,1001
1983,80,791
1984,58,741
1985,48,763
1986,45,656
1987,39,720
1988,47,618
1989,42,605
1990,44,684
1991,60,652
1992,54,574
1993,53,653
1994,53,554
1995,67,507
1996,49,470
1997,56,441
1998,71,403
1999,70,449
2000,80,481
2001,95,435
2002,92,448
2003,132,495
2004,121,508
2005,146,482
2006,127,474
2007,133,470
2008,110,447
2009,99,407
2010,102,405
2011,90,407
2012,83,404
2013,73,381
2014,118,370
2015,95,317
2016,153,354
2017,145,299
2018,151,320
2019,132,301
