year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,5,0
1926,0,0
1927,0,0
1928,5,0
1929,0,0
1930,0,0
1931,9,0
1932,0,0
1933,0,0
1934,0,5
1935,5,0
1936,0,9
1937,0,8
1938,0,9
1939,0,5
1940,8,0
1941,0,9
1942,0,11
1943,5,6
1944,8,15
1945,7,11
1946,6,12
1947,7,14
1948,6,14
1949,6,16
1950,6,16
1951,10,19
1952,6,18
1953,5,19
1954,6,23
1955,0,9
1956,5,18
1957,0,10
1958,5,8
1959,0,18
1960,5,18
1961,6,8
1962,8,16
1963,0,15
1964,10,13
1965,10,8
1966,0,17
1967,5,14
1968,0,13
1969,7,17
1970,0,15
1971,12,16
1972,10,13
1973,8,22
1974,9,14
1975,10,13
1976,9,19
1977,12,25
1978,6,25
1979,9,23
1980,8,13
1981,9,16
1982,6,16
1983,7,20
1984,9,24
1985,5,23
1986,9,15
1987,7,17
1988,5,14
1989,6,20
1990,0,27
1991,9,25
1992,0,22
1993,8,16
1994,0,20
1995,0,13
1996,0,20
1997,0,17
1998,5,12
1999,0,22
2000,0,16
2001,0,16
2002,0,18
2003,0,9
2004,6,13
2005,0,11
2006,0,12
2007,0,13
2008,0,15
2009,0,18
2010,0,11
2011,0,14
2012,0,9
2013,0,7
2014,0,5
2015,0,6
2016,0,8
2017,0,6
2018,0,9
2019,0,11
