year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,6,0
1913,8,0
1914,0,0
1915,0,0
1916,9,0
1917,6,0
1918,0,0
1919,12,0
1920,6,0
1921,6,0
1922,9,0
1923,11,0
1924,10,0
1925,9,0
1926,5,0
1927,6,0
1928,8,0
1929,9,0
1930,11,0
1931,13,0
1932,8,0
1933,7,0
1934,0,0
1935,6,0
1936,0,0
1937,0,0
1938,5,0
1939,7,0
1940,5,0
1941,0,0
1942,5,0
1943,8,0
1944,10,0
1945,5,0
1946,10,0
1947,19,0
1948,12,0
1949,13,0
1950,10,0
1951,15,0
1952,11,0
1953,14,0
1954,15,0
1955,11,0
1956,9,0
1957,12,0
1958,14,0
1959,21,0
1960,16,0
1961,14,0
1962,18,0
1963,16,0
1964,15,0
1965,19,0
1966,13,0
1967,15,0
1968,18,0
1969,19,0
1970,18,0
1971,26,0
1972,13,0
1973,16,0
1974,18,0
1975,19,0
1976,16,0
1977,21,0
1978,23,0
1979,26,0
1980,20,0
1981,22,0
1982,32,0
1983,21,0
1984,19,0
1985,29,0
1986,21,0
1987,18,0
1988,15,0
1989,21,0
1990,25,0
1991,35,0
1992,38,0
1993,24,0
1994,36,0
1995,35,0
1996,32,0
1997,37,0
1998,35,0
1999,53,0
2000,39,0
2001,45,0
2002,67,0
2003,70,0
2004,66,0
2005,57,0
2006,65,0
2007,68,0
2008,85,0
2009,63,0
2010,73,0
2011,72,0
2012,74,0
2013,78,0
2014,85,0
2015,89,0
2016,115,0
2017,103,0
2018,115,0
2019,94,0
