year,M,F
1880,31,0
1881,22,0
1882,14,0
1883,27,0
1884,27,0
1885,23,0
1886,29,0
1887,15,0
1888,24,0
1889,22,0
1890,24,0
1891,19,0
1892,22,0
1893,16,0
1894,18,0
1895,27,0
1896,23,0
1897,21,0
1898,22,0
1899,17,0
1900,25,0
1901,18,0
1902,17,0
1903,21,0
1904,18,0
1905,17,0
1906,13,0
1907,19,0
1908,26,0
1909,21,0
1910,23,0
1911,30,0
1912,39,0
1913,37,0
1914,39,0
1915,40,0
1916,55,0
1917,42,0
1918,49,0
1919,41,0
1920,45,0
1921,36,0
1922,50,0
1923,49,0
1924,47,0
1925,45,0
1926,46,0
1927,41,0
1928,44,0
1929,36,0
1930,28,0
1931,30,0
1932,40,0
1933,30,0
1934,39,0
1935,34,0
1936,44,0
1937,38,0
1938,33,0
1939,32,0
1940,31,0
1941,31,0
1942,31,0
1943,25,0
1944,35,0
1945,34,0
1946,43,0
1947,40,0
1948,45,0
1949,46,0
1950,40,0
1951,41,0
1952,55,0
1953,58,0
1954,51,0
1955,50,0
1956,55,0
1957,51,0
1958,69,0
1959,127,0
1960,129,0
1961,132,0
1962,103,0
1963,114,0
1964,95,0
1965,105,0
1966,102,0
1967,105,0
1968,135,0
1969,193,0
1970,248,0
1971,325,0
1972,356,0
1973,401,0
1974,496,0
1975,456,0
1976,386,0
1977,383,0
1978,429,0
1979,531,0
1980,460,0
1981,350,0
1982,297,0
1983,300,0
1984,260,0
1985,249,0
1986,220,0
1987,233,0
1988,240,0
1989,214,0
1990,212,0
1991,181,0
1992,182,0
1993,184,0
1994,169,0
1995,183,0
1996,166,0
1997,189,0
1998,166,0
1999,194,0
2000,195,0
2001,246,0
2002,274,0
2003,273,0
2004,308,0
2005,266,0
2006,302,0
2007,316,0
2008,269,0
2009,205,0
2010,178,0
2011,178,0
2012,167,0
2013,151,0
2014,165,0
2015,122,0
2016,108,0
2017,128,0
2018,113,0
2019,103,0
