year,Girls,Boys
1880,0,0
1881,8,0
1882,0,0
1883,6,0
1884,5,0
1885,6,0
1886,7,0
1887,13,0
1888,0,0
1889,10,0
1890,18,0
1891,12,0
1892,13,0
1893,11,0
1894,15,0
1895,16,0
1896,20,0
1897,12,0
1898,21,0
1899,17,0
1900,32,0
1901,26,0
1902,23,0
1903,15,0
1904,16,0
1905,25,0
1906,37,0
1907,32,0
1908,33,0
1909,34,0
1910,35,0
1911,44,0
1912,67,0
1913,76,0
1914,87,0
1915,154,0
1916,159,0
1917,159,0
1918,162,0
1919,141,0
1920,172,0
1921,249,7
1922,198,8
1923,172,7
1924,180,0
1925,177,5
1926,159,0
1927,175,0
1928,142,8
1929,133,0
1930,133,6
1931,125,0
1932,125,0
1933,132,0
1934,128,5
1935,93,0
1936,99,0
1937,109,0
1938,171,0
1939,117,0
1940,139,0
1941,146,0
1942,119,0
1943,146,0
1944,116,0
1945,123,0
1946,144,0
1947,136,6
1948,126,0
1949,135,0
1950,122,0
1951,118,0
1952,115,0
1953,127,0
1954,98,0
1955,106,0
1956,107,0
1957,110,0
1958,253,0
1959,220,0
1960,216,0
1961,227,0
1962,308,0
1963,309,5
1964,337,0
1965,319,0
1966,360,5
1967,290,6
1968,280,8
1969,355,0
1970,410,7
1971,348,11
1972,317,18
1973,270,17
1974,252,16
1975,240,12
1976,201,34
1977,210,41
1978,216,47
1979,280,43
1980,329,53
1981,310,72
1982,313,83
1983,523,93
1984,664,94
1985,939,99
1986,1259,112
1987,1586,127
1988,1591,159
1989,1565,144
1990,1565,116
1991,1340,98
1992,1256,90
1993,1200,79
1994,1161,70
1995,957,63
1996,1093,49
1997,982,48
1998,754,46
1999,599,31
2000,583,32
2001,482,41
2002,452,29
2003,464,31
2004,409,23
2005,323,34
2006,273,36
2007,293,24
2008,291,18
2009,212,19
2010,176,14
2011,170,13
2012,140,12
2013,121,10
2014,101,7
2015,102,5
2016,103,5
2017,98,0
2018,83,0
2019,67,6
