year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,7,0
1944,8,0
1945,5,0
1946,8,0
1947,5,0
1948,10,0
1949,7,0
1950,8,0
1951,6,0
1952,17,0
1953,15,0
1954,9,0
1955,19,0
1956,15,0
1957,16,0
1958,23,0
1959,21,0
1960,30,0
1961,31,0
1962,30,0
1963,34,0
1964,30,0
1965,25,0
1966,27,0
1967,30,0
1968,24,0
1969,37,0
1970,38,0
1971,50,0
1972,27,7
1973,35,6
1974,41,7
1975,36,6
1976,44,9
1977,51,7
1978,54,8
1979,49,0
1980,53,0
1981,54,0
1982,217,0
1983,277,0
1984,199,6
1985,223,0
1986,273,0
1987,381,5
1988,462,0
1989,525,8
1990,438,0
1991,426,0
1992,354,0
1993,351,0
1994,315,0
1995,308,0
1996,234,0
1997,209,0
1998,190,0
1999,171,0
2000,153,6
2001,136,0
2002,118,0
2003,80,0
2004,75,0
2005,61,0
2006,47,0
2007,33,0
2008,55,6
2009,26,5
2010,29,6
2011,16,0
2012,23,0
2013,22,0
2014,14,0
2015,30,0
2016,28,0
2017,22,0
2018,19,0
2019,20,0
