year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,5,0
1953,0,0
1954,0,0
1955,5,0
1956,0,0
1957,0,0
1958,10,0
1959,10,8
1960,0,0
1961,0,7
1962,0,5
1963,0,8
1964,0,12
1965,11,9
1966,6,6
1967,10,5
1968,7,9
1969,7,0
1970,5,8
1971,23,7
1972,0,0
1973,10,0
1974,9,12
1975,10,8
1976,7,14
1977,5,11
1978,7,22
1979,9,17
1980,7,31
1981,14,38
1982,19,52
1983,20,50
1984,21,61
1985,24,83
1986,30,89
1987,34,106
1988,44,95
1989,40,100
1990,34,104
1991,46,76
1992,44,130
1993,60,133
1994,64,121
1995,43,141
1996,47,110
1997,52,109
1998,57,169
1999,55,121
2000,53,120
2001,47,133
2002,51,115
2003,39,144
2004,29,122
2005,44,120
2006,37,117
2007,33,147
2008,36,123
2009,20,140
2010,19,125
2011,26,106
2012,18,86
2013,20,84
2014,21,77
2015,15,66
2016,9,66
2017,11,52
2018,6,67
2019,0,80
