year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,5,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,8,0
1933,5,0
1934,10,0
1935,6,0
1936,11,0
1937,8,0
1938,18,0
1939,12,0
1940,19,0
1941,15,0
1942,24,0
1943,18,0
1944,16,0
1945,12,0
1946,14,0
1947,22,0
1948,26,0
1949,9,0
1950,14,0
1951,15,0
1952,15,0
1953,15,0
1954,18,0
1955,15,0
1956,10,0
1957,12,0
1958,24,0
1959,14,0
1960,20,0
1961,15,0
1962,23,0
1963,16,0
1964,14,0
1965,22,0
1966,22,0
1967,19,0
1968,21,0
1969,20,0
1970,15,0
1971,14,0
1972,25,36
1973,28,30
1974,13,49
1975,29,71
1976,26,50
1977,41,45
1978,29,36
1979,16,31
1980,23,35
1981,24,29
1982,25,35
1983,18,23
1984,20,29
1985,8,15
1986,8,18
1987,14,11
1988,18,20
1989,23,19
1990,21,17
1991,11,16
1992,13,16
1993,19,19
1994,17,7
1995,10,11
1996,7,0
1997,10,7
1998,14,5
1999,13,13
2000,13,9
2001,9,8
2002,14,0
2003,11,0
2004,16,0
2005,7,0
2006,11,0
2007,5,0
2008,9,6
2009,13,0
2010,8,7
2011,0,0
2012,6,7
2013,6,0
2014,0,0
2015,0,0
2016,7,7
2017,6,5
2018,5,0
2019,0,0
