year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,5
1938,0,0
1939,0,0
1940,0,0
1941,5,0
1942,0,0
1943,0,6
1944,6,0
1945,5,0
1946,5,5
1947,5,8
1948,8,6
1949,0,6
1950,10,6
1951,14,8
1952,7,13
1953,7,10
1954,18,7
1955,21,14
1956,22,11
1957,27,11
1958,33,7
1959,36,15
1960,32,22
1961,35,20
1962,38,19
1963,32,16
1964,38,8
1965,35,11
1966,44,16
1967,62,15
1968,82,11
1969,56,18
1970,80,14
1971,80,9
1972,90,5
1973,88,11
1974,92,17
1975,119,14
1976,109,14
1977,115,7
1978,71,9
1979,58,8
1980,70,7
1981,57,16
1982,63,8
1983,43,0
1984,35,9
1985,21,10
1986,29,16
1987,20,12
1988,17,5
1989,24,11
1990,26,13
1991,15,12
1992,26,11
1993,18,10
1994,22,8
1995,10,7
1996,28,6
1997,9,5
1998,13,0
1999,9,5
2000,6,0
2001,7,0
2002,6,6
2003,7,0
2004,6,0
2005,5,0
2006,0,0
2007,0,0
2008,5,0
2009,0,5
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,5,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
