year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,11,0
1957,9,0
1958,17,0
1959,14,0
1960,16,0
1961,46,0
1962,93,0
1963,42,0
1964,65,0
1965,73,0
1966,65,0
1967,66,0
1968,99,0
1969,121,0
1970,151,0
1971,154,0
1972,173,0
1973,180,0
1974,206,0
1975,277,0
1976,328,0
1977,406,7
1978,479,0
1979,506,9
1980,674,7
1981,656,8
1982,667,10
1983,647,12
1984,657,0
1985,670,13
1986,722,16
1987,848,15
1988,1288,13
1989,1539,21
1990,1561,10
1991,1796,10
1992,1949,18
1993,2202,17
1994,2262,15
1995,2985,16
1996,2867,7
1997,2373,8
1998,2235,11
1999,2378,0
2000,2133,5
2001,1963,5
2002,1959,0
2003,1976,0
2004,1734,0
2005,1630,0
2006,1530,0
2007,1589,0
2008,1444,0
2009,1120,0
2010,1112,0
2011,933,0
2012,857,0
2013,802,0
2014,737,0
2015,689,0
2016,632,0
2017,563,0
2018,507,0
2019,529,0
