year,Girls,Boys
1880,0,21
1881,0,29
1882,0,40
1883,0,33
1884,0,34
1885,0,44
1886,0,48
1887,0,49
1888,0,71
1889,0,50
1890,0,47
1891,0,61
1892,0,59
1893,0,63
1894,0,73
1895,0,67
1896,0,60
1897,0,57
1898,0,53
1899,0,49
1900,0,75
1901,0,54
1902,0,65
1903,0,70
1904,0,67
1905,0,65
1906,0,108
1907,0,89
1908,0,97
1909,0,102
1910,0,92
1911,0,156
1912,0,323
1913,0,387
1914,0,548
1915,6,715
1916,8,685
1917,0,673
1918,0,600
1919,7,515
1920,0,502
1921,0,573
1922,0,527
1923,0,565
1924,5,584
1925,7,589
1926,0,595
1927,8,630
1928,8,599
1929,7,637
1930,7,648
1931,7,635
1932,0,670
1933,5,682
1934,6,688
1935,0,811
1936,5,831
1937,0,907
1938,0,985
1939,0,866
1940,0,855
1941,0,864
1942,5,878
1943,5,906
1944,0,837
1945,0,759
1946,0,998
1947,6,1119
1948,0,1186
1949,0,1321
1950,0,1304
1951,7,1439
1952,0,1564
1953,0,1653
1954,0,1738
1955,7,1934
1956,14,2057
1957,6,2341
1958,14,2346
1959,19,2353
1960,20,2591
1961,17,2550
1962,21,2455
1963,23,2512
1964,18,2402
1965,19,2023
1966,19,1791
1967,29,1695
1968,22,1601
1969,37,1565
1970,23,1576
1971,23,1322
1972,26,1166
1973,32,987
1974,26,1004
1975,25,904
1976,26,867
1977,25,941
1978,22,901
1979,21,960
1980,24,1058
1981,27,1063
1982,27,974
1983,29,913
1984,24,895
1985,31,959
1986,29,903
1987,23,853
1988,23,843
1989,14,909
1990,6,856
1991,6,811
1992,0,737
1993,9,662
1994,0,612
1995,0,598
1996,0,503
1997,0,483
1998,0,455
1999,0,389
2000,0,366
2001,0,351
2002,0,330
2003,0,299
2004,0,281
2005,0,265
2006,0,270
2007,0,241
2008,0,188
2009,0,207
2010,0,177
2011,0,171
2012,0,161
2013,0,168
2014,0,163
2015,0,184
2016,0,167
2017,0,141
2018,0,142
2019,0,141
