year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,5,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,6,0
1948,0,0
1949,5,0
1950,5,0
1951,7,0
1952,8,0
1953,5,0
1954,5,0
1955,13,0
1956,6,0
1957,13,0
1958,12,0
1959,13,0
1960,16,0
1961,17,0
1962,19,0
1963,29,0
1964,9,0
1965,20,0
1966,10,0
1967,27,0
1968,20,0
1969,13,0
1970,15,0
1971,22,0
1972,14,0
1973,22,0
1974,23,0
1975,23,0
1976,20,0
1977,26,0
1978,19,0
1979,18,0
1980,65,0
1981,37,0
1982,45,0
1983,38,0
1984,42,0
1985,45,0
1986,38,0
1987,52,0
1988,44,0
1989,36,0
1990,40,0
1991,39,0
1992,47,0
1993,43,0
1994,39,0
1995,47,0
1996,43,0
1997,55,0
1998,49,0
1999,55,0
2000,54,0
2001,51,0
2002,44,0
2003,41,0
2004,41,0
2005,46,0
2006,37,0
2007,48,0
2008,35,0
2009,29,0
2010,29,0
2011,43,0
2012,60,0
2013,62,0
2014,61,0
2015,47,0
2016,52,0
2017,48,0
2018,55,0
2019,37,0
