year,Girls,Boys
1880,502,5
1881,504,0
1882,591,0
1883,583,0
1884,671,0
1885,751,0
1886,744,0
1887,794,0
1888,893,0
1889,889,0
1890,900,0
1891,803,5
1892,961,0
1893,963,0
1894,948,0
1895,968,0
1896,1047,0
1897,962,0
1898,914,0
1899,942,0
1900,1201,0
1901,890,0
1902,1004,5
1903,1015,5
1904,1128,11
1905,1190,0
1906,1277,0
1907,1413,5
1908,1430,0
1909,1557,8
1910,1752,0
1911,1858,5
1912,2546,0
1913,2794,10
1914,3652,8
1915,4488,8
1916,4801,13
1917,4956,14
1918,5191,12
1919,4846,11
1920,5276,17
1921,5156,12
1922,4827,13
1923,4579,24
1924,4696,18
1925,4240,13
1926,3834,19
1927,3723,18
1928,3397,19
1929,3016,13
1930,3032,22
1931,2624,13
1932,2590,14
1933,2330,14
1934,2387,15
1935,2338,14
1936,2356,13
1937,2484,14
1938,2575,7
1939,2476,13
1940,2709,10
1941,3004,15
1942,3377,13
1943,3615,14
1944,3524,13
1945,3392,12
1946,4196,5
1947,4886,19
1948,5169,10
1949,6039,19
1950,6205,9
1951,6930,8
1952,6890,17
1953,6558,13
1954,6741,16
1955,7237,15
1956,7082,21
1957,6634,17
1958,6432,17
1959,6140,14
1960,5878,24
1961,5629,19
1962,5271,9
1963,5125,18
1964,5073,17
1965,4707,10
1966,4494,18
1967,4557,14
1968,4719,11
1969,5167,16
1970,5442,16
1971,5123,30
1972,4514,12
1973,4420,12
1974,4531,17
1975,4854,18
1976,5055,16
1977,6032,20
1978,6623,26
1979,7468,36
1980,8019,30
1981,8435,31
1982,9179,45
1983,9681,33
1984,10161,48
1985,10130,39
1986,10573,44
1987,10434,44
1988,11152,42
1989,11414,94
1990,11626,32
1991,11490,20
1992,11151,20
1993,10506,19
1994,9587,19
1995,8985,13
1996,8875,14
1997,8516,11
1998,8204,13
1999,7935,7
2000,8108,13
2001,7879,14
2002,7212,12
2003,7125,10
2004,6739,32
2005,6391,14
2006,6294,6
2007,5817,7
2008,5347,6
2009,4429,5
2010,3866,0
2011,4186,5
2012,3951,0
2013,3720,0
2014,3683,7
2015,3447,9
2016,3271,0
2017,2857,0
2018,2674,0
2019,2431,0
