year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,5,0
1939,10,0
1940,14,0
1941,17,0
1942,39,0
1943,76,0
1944,59,0
1945,75,0
1946,117,0
1947,142,0
1948,147,0
1949,119,0
1950,159,0
1951,247,0
1952,275,0
1953,438,0
1954,740,0
1955,398,0
1956,402,0
1957,624,0
1958,824,0
1959,755,0
1960,681,0
1961,536,0
1962,456,0
1963,370,0
1964,330,0
1965,255,0
1966,166,0
1967,184,0
1968,157,0
1969,183,0
1970,171,0
1971,151,0
1972,116,0
1973,83,0
1974,69,0
1975,65,0
1976,48,0
1977,45,0
1978,42,0
1979,40,0
1980,35,0
1981,37,0
1982,27,0
1983,27,0
1984,19,0
1985,21,0
1986,14,0
1987,13,0
1988,10,0
1989,10,0
1990,15,0
1991,7,0
1992,11,0
1993,9,0
1994,6,0
1995,0,0
1996,0,0
1997,0,0
1998,7,0
1999,5,0
2000,0,0
2001,5,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
