year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,6,0
1915,7,0
1916,5,0
1917,0,0
1918,7,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,6,0
1924,5,0
1925,0,0
1926,0,0
1927,6,0
1928,5,0
1929,5,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,5,0
1936,0,0
1937,5,0
1938,0,0
1939,8,0
1940,0,0
1941,0,0
1942,5,0
1943,0,0
1944,14,0
1945,13,0
1946,6,0
1947,18,0
1948,10,0
1949,14,0
1950,11,0
1951,16,0
1952,26,0
1953,14,0
1954,26,0
1955,18,0
1956,13,0
1957,21,0
1958,18,0
1959,21,0
1960,21,0
1961,13,0
1962,15,0
1963,18,0
1964,15,0
1965,20,0
1966,15,0
1967,12,0
1968,17,0
1969,18,0
1970,21,0
1971,17,0
1972,10,0
1973,13,0
1974,15,0
1975,18,0
1976,17,0
1977,19,0
1978,20,0
1979,25,0
1980,22,0
1981,24,0
1982,21,0
1983,14,0
1984,19,0
1985,20,0
1986,15,0
1987,15,0
1988,28,0
1989,23,0
1990,36,0
1991,24,0
1992,19,0
1993,21,0
1994,27,0
1995,16,0
1996,18,0
1997,22,0
1998,10,0
1999,13,0
2000,15,0
2001,5,0
2002,12,0
2003,13,0
2004,12,0
2005,8,0
2006,10,0
2007,13,0
2008,8,0
2009,9,0
2010,6,0
2011,10,0
2012,0,0
2013,6,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
