year,Boys,Girls
1880,8,0
1881,11,0
1882,8,0
1883,10,0
1884,10,0
1885,12,0
1886,7,0
1887,14,0
1888,22,0
1889,16,0
1890,24,0
1891,14,0
1892,17,0
1893,11,0
1894,17,0
1895,22,0
1896,28,0
1897,29,0
1898,26,0
1899,10,0
1900,44,0
1901,17,0
1902,33,0
1903,26,0
1904,23,0
1905,43,0
1906,37,0
1907,33,0
1908,43,0
1909,37,0
1910,62,0
1911,45,0
1912,57,0
1913,47,0
1914,57,0
1915,61,0
1916,67,0
1917,74,0
1918,75,0
1919,84,0
1920,71,0
1921,65,0
1922,87,0
1923,82,0
1924,95,0
1925,85,0
1926,86,0
1927,80,0
1928,70,0
1929,64,0
1930,78,0
1931,63,0
1932,60,0
1933,73,0
1934,67,0
1935,74,0
1936,60,0
1937,71,0
1938,55,0
1939,50,0
1940,61,0
1941,49,0
1942,56,0
1943,57,0
1944,47,0
1945,59,0
1946,49,0
1947,40,0
1948,50,0
1949,55,0
1950,47,0
1951,43,0
1952,56,0
1953,42,0
1954,33,0
1955,42,0
1956,36,0
1957,29,0
1958,34,0
1959,28,0
1960,31,0
1961,27,0
1962,21,0
1963,13,0
1964,17,0
1965,21,0
1966,18,0
1967,16,0
1968,17,0
1969,17,0
1970,13,0
1971,21,0
1972,17,0
1973,14,0
1974,12,0
1975,11,0
1976,26,0
1977,22,0
1978,33,0
1979,38,0
1980,37,0
1981,48,0
1982,47,0
1983,56,0
1984,56,0
1985,77,0
1986,49,0
1987,77,0
1988,82,0
1989,75,0
1990,81,0
1991,57,0
1992,73,0
1993,47,0
1994,59,0
1995,52,0
1996,37,0
1997,34,0
1998,31,0
1999,28,0
2000,23,0
2001,31,0
2002,35,0
2003,36,0
2004,37,0
2005,30,0
2006,38,0
2007,27,0
2008,31,0
2009,32,0
2010,17,0
2011,25,0
2012,17,0
2013,15,0
2014,12,0
2015,9,0
2016,11,0
2017,6,0
2018,0,0
2019,7,0
