year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,5
1962,0,0
1963,0,7
1964,5,11
1965,0,6
1966,0,0
1967,0,7
1968,0,5
1969,0,5
1970,0,7
1971,0,0
1972,0,12
1973,0,8
1974,6,14
1975,11,13
1976,7,14
1977,0,37
1978,9,27
1979,14,21
1980,8,29
1981,9,39
1982,10,27
1983,14,46
1984,12,56
1985,24,33
1986,25,56
1987,39,69
1988,32,71
1989,41,76
1990,49,67
1991,42,89
1992,40,61
1993,28,58
1994,36,57
1995,25,52
1996,27,46
1997,21,41
1998,26,42
1999,22,45
2000,16,37
2001,20,42
2002,14,27
2003,12,28
2004,13,38
2005,16,33
2006,11,40
2007,19,32
2008,15,20
2009,11,34
2010,12,30
2011,8,28
2012,11,18
2013,9,21
2014,0,20
2015,15,28
2016,7,28
2017,8,24
2018,9,19
2019,0,20
