year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,8,0
1956,12,0
1957,18,0
1958,32,0
1959,28,0
1960,44,0
1961,65,0
1962,71,0
1963,59,0
1964,66,0
1965,114,0
1966,130,0
1967,87,0
1968,103,0
1969,110,0
1970,109,0
1971,115,0
1972,106,0
1973,91,0
1974,95,0
1975,103,7
1976,130,0
1977,178,6
1978,169,5
1979,190,0
1980,172,0
1981,146,5
1982,131,5
1983,138,0
1984,109,0
1985,119,0
1986,125,0
1987,114,5
1988,108,0
1989,96,6
1990,86,0
1991,82,0
1992,76,0
1993,66,0
1994,52,0
1995,48,0
1996,36,0
1997,38,5
1998,30,5
1999,39,0
2000,22,0
2001,29,0
2002,38,0
2003,33,0
2004,19,0
2005,14,0
2006,14,0
2007,20,0
2008,21,0
2009,10,0
2010,11,0
2011,10,0
2012,11,0
2013,6,0
2014,0,0
2015,6,0
2016,12,0
2017,0,0
2018,5,0
2019,0,0
