year,F,M
1880,0,5
1881,0,8
1882,0,13
1883,0,12
1884,0,10
1885,0,15
1886,0,16
1887,0,13
1888,0,10
1889,0,17
1890,0,11
1891,0,9
1892,0,18
1893,0,21
1894,0,12
1895,0,23
1896,0,14
1897,0,15
1898,0,10
1899,0,9
1900,0,33
1901,0,12
1902,0,16
1903,0,21
1904,0,13
1905,0,11
1906,0,20
1907,5,29
1908,5,25
1909,7,26
1910,6,46
1911,5,41
1912,7,57
1913,0,63
1914,11,92
1915,5,101
1916,9,90
1917,8,131
1918,14,118
1919,8,144
1920,11,121
1921,15,133
1922,13,141
1923,10,111
1924,10,125
1925,16,121
1926,12,123
1927,10,132
1928,11,128
1929,11,141
1930,13,117
1931,9,129
1932,14,105
1933,12,120
1934,11,144
1935,13,125
1936,13,138
1937,14,126
1938,18,137
1939,10,153
1940,24,142
1941,28,160
1942,36,249
1943,36,275
1944,60,275
1945,51,240
1946,51,283
1947,73,351
1948,83,379
1949,117,510
1950,97,488
1951,164,701
1952,296,806
1953,226,845
1954,455,963
1955,538,1249
1956,830,1472
1957,1905,1871
1958,4472,2299
1959,6378,2434
1960,8680,2935
1961,9637,3006
1962,11528,2857
1963,12551,2728
1964,12474,2492
1965,12761,2259
1966,13244,2785
1967,13722,3100
1968,17139,3059
1969,16327,2791
1970,14611,2496
1971,12596,2265
1972,10942,1916
1973,10517,1704
1974,10848,1759
1975,11735,1642
1976,11793,1541
1977,18235,1484
1978,16983,1308
1979,15297,1207
1980,13717,1184
1981,11876,1182
1982,12171,1271
1983,11586,1054
1984,11218,985
1985,11031,892
1986,10412,872
1987,9867,786
1988,8911,740
1989,8763,811
1990,8136,686
1991,7512,643
1992,7012,534
1993,6297,475
1994,5445,385
1995,5398,357
1996,4734,339
1997,4063,284
1998,3703,240
1999,3420,195
2000,3076,202
2001,2814,174
2002,2852,185
2003,2736,146
2004,2357,160
2005,1952,127
2006,1610,139
2007,1568,154
2008,1399,113
2009,1251,140
2010,1060,101
2011,943,108
2012,891,106
2013,848,103
2014,738,105
2015,673,104
2016,604,117
2017,502,112
2018,485,103
2019,445,107
