year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,7
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,6
1923,0,0
1924,5,5
1925,0,5
1926,0,0
1927,0,0
1928,0,0
1929,5,0
1930,7,0
1931,6,0
1932,0,0
1933,0,0
1934,7,7
1935,7,0
1936,6,0
1937,8,0
1938,11,0
1939,11,0
1940,12,9
1941,17,0
1942,17,0
1943,25,0
1944,31,8
1945,25,0
1946,28,0
1947,26,0
1948,34,5
1949,38,6
1950,31,0
1951,47,6
1952,39,0
1953,43,0
1954,50,5
1955,56,0
1956,69,11
1957,65,5
1958,59,0
1959,62,7
1960,66,7
1961,69,0
1962,66,0
1963,78,0
1964,88,0
1965,68,0
1966,59,0
1967,51,5
1968,67,0
1969,71,0
1970,79,0
1971,81,0
1972,79,8
1973,77,0
1974,73,0
1975,73,0
1976,64,0
1977,85,0
1978,64,0
1979,60,5
1980,72,0
1981,72,6
1982,80,0
1983,66,0
1984,85,0
1985,97,10
1986,81,0
1987,81,0
1988,105,0
1989,102,0
1990,112,0
1991,107,0
1992,98,9
1993,104,0
1994,129,0
1995,140,0
1996,156,0
1997,171,0
1998,187,5
1999,205,0
2000,215,0
2001,239,0
2002,286,0
2003,301,0
2004,319,0
2005,293,0
2006,289,0
2007,343,5
2008,335,0
2009,377,0
2010,318,9
2011,316,7
2012,298,10
2013,252,6
2014,329,0
2015,422,7
2016,443,11
2017,404,0
2018,423,8
2019,432,0
