year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,5
1970,0,7
1971,0,25
1972,0,38
1973,0,28
1974,0,27
1975,0,32
1976,0,21
1977,7,29
1978,0,23
1979,0,20
1980,0,17
1981,0,13
1982,0,8
1983,0,10
1984,0,9
1985,0,8
1986,0,0
1987,0,8
1988,0,0
1989,0,9
1990,0,20
1991,10,29
1992,9,48
1993,9,51
1994,25,63
1995,23,67
1996,30,58
1997,38,55
1998,42,69
1999,39,55
2000,31,39
2001,35,54
2002,45,45
2003,37,40
2004,45,32
2005,51,39
2006,63,38
2007,47,41
2008,111,40
2009,111,36
2010,96,47
2011,95,35
2012,87,40
2013,42,32
2014,38,28
2015,46,20
2016,47,31
2017,46,28
2018,45,32
2019,53,43
