year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,5,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,6,0
1912,0,0
1913,11,0
1914,8,0
1915,6,0
1916,7,0
1917,7,0
1918,6,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,5,0
1952,5,0
1953,5,0
1954,6,0
1955,0,0
1956,9,0
1957,9,0
1958,10,0
1959,7,0
1960,15,0
1961,12,0
1962,18,0
1963,16,0
1964,19,0
1965,19,0
1966,31,0
1967,21,0
1968,16,0
1969,37,0
1970,34,0
1971,28,0
1972,21,0
1973,18,0
1974,22,0
1975,13,0
1976,21,0
1977,22,0
1978,29,0
1979,28,0
1980,36,0
1981,41,0
1982,43,0
1983,42,0
1984,30,0
1985,35,0
1986,32,0
1987,26,0
1988,42,0
1989,31,0
1990,36,0
1991,45,0
1992,33,0
1993,43,0
1994,35,0
1995,37,0
1996,48,0
1997,49,0
1998,42,0
1999,43,0
2000,43,0
2001,50,0
2002,60,0
2003,57,0
2004,76,0
2005,90,0
2006,116,0
2007,107,0
2008,88,0
2009,102,0
2010,91,0
2011,99,0
2012,91,0
2013,115,0
2014,117,0
2015,102,0
2016,99,0
2017,92,0
2018,84,0
2019,80,0
