year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,6,0
1947,0,0
1948,0,0
1949,0,0
1950,5,0
1951,9,0
1952,6,0
1953,9,0
1954,6,0
1955,12,0
1956,13,0
1957,13,0
1958,13,0
1959,27,0
1960,39,0
1961,28,0
1962,39,0
1963,35,0
1964,42,0
1965,35,0
1966,74,0
1967,127,0
1968,168,0
1969,199,0
1970,295,0
1971,256,0
1972,214,0
1973,217,0
1974,244,0
1975,233,0
1976,353,0
1977,362,0
1978,354,0
1979,392,0
1980,425,0
1981,442,0
1982,432,0
1983,459,0
1984,456,0
1985,453,0
1986,445,0
1987,504,0
1988,549,0
1989,652,0
1990,647,0
1991,654,0
1992,684,0
1993,617,0
1994,715,0
1995,646,0
1996,639,0
1997,654,0
1998,692,0
1999,596,0
2000,561,0
2001,533,0
2002,536,0
2003,550,0
2004,682,0
2005,544,0
2006,454,0
2007,506,0
2008,424,0
2009,376,0
2010,367,0
2011,308,0
2012,313,0
2013,231,0
2014,233,0
2015,217,0
2016,181,0
2017,206,0
2018,146,0
2019,143,0
