year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,5
1913,0,12
1914,0,5
1915,0,0
1916,0,5
1917,0,6
1918,0,12
1919,0,9
1920,0,9
1921,0,12
1922,0,16
1923,0,15
1924,0,20
1925,0,19
1926,0,8
1927,0,22
1928,0,9
1929,0,11
1930,0,9
1931,0,16
1932,0,11
1933,0,22
1934,0,12
1935,0,14
1936,0,12
1937,0,15
1938,0,13
1939,0,9
1940,0,15
1941,0,10
1942,0,8
1943,0,13
1944,0,13
1945,0,11
1946,0,7
1947,0,10
1948,0,18
1949,0,24
1950,0,21
1951,0,11
1952,0,17
1953,0,21
1954,0,8
1955,0,16
1956,0,15
1957,0,22
1958,0,23
1959,0,19
1960,0,17
1961,0,18
1962,0,13
1963,0,19
1964,0,18
1965,0,18
1966,0,13
1967,0,25
1968,0,18
1969,0,18
1970,0,26
1971,0,31
1972,0,17
1973,0,16
1974,0,18
1975,0,26
1976,0,29
1977,0,23
1978,0,19
1979,0,23
1980,0,33
1981,0,17
1982,0,33
1983,0,21
1984,0,20
1985,0,35
1986,0,29
1987,0,26
1988,0,27
1989,0,31
1990,0,37
1991,0,30
1992,0,38
1993,0,24
1994,0,29
1995,0,25
1996,0,39
1997,0,32
1998,0,22
1999,0,25
2000,0,48
2001,0,25
2002,0,26
2003,0,27
2004,0,26
2005,0,23
2006,0,29
2007,0,41
2008,0,27
2009,0,23
2010,0,19
2011,0,15
2012,0,17
2013,0,22
2014,0,22
2015,0,19
2016,0,13
2017,0,17
2018,0,18
2019,0,13
