year,Boys,Girls
1880,21,0
1881,14,0
1882,18,0
1883,20,0
1884,20,0
1885,22,0
1886,35,0
1887,20,0
1888,22,0
1889,33,0
1890,27,0
1891,27,0
1892,37,0
1893,27,0
1894,34,0
1895,32,0
1896,29,0
1897,26,0
1898,36,0
1899,25,0
1900,41,0
1901,29,0
1902,34,0
1903,25,0
1904,33,0
1905,24,0
1906,26,0
1907,32,0
1908,33,0
1909,33,0
1910,28,0
1911,24,0
1912,29,0
1913,46,0
1914,63,0
1915,67,0
1916,78,0
1917,75,0
1918,86,0
1919,82,0
1920,92,0
1921,93,0
1922,82,0
1923,89,0
1924,66,0
1925,66,0
1926,59,0
1927,70,0
1928,63,0
1929,60,0
1930,45,0
1931,48,0
1932,47,0
1933,38,0
1934,36,0
1935,44,0
1936,35,0
1937,26,0
1938,36,0
1939,27,0
1940,36,0
1941,34,0
1942,39,0
1943,20,0
1944,29,0
1945,31,0
1946,45,0
1947,36,0
1948,47,0
1949,33,0
1950,39,0
1951,32,0
1952,33,0
1953,37,0
1954,50,0
1955,25,0
1956,36,0
1957,47,0
1958,30,0
1959,33,0
1960,35,0
1961,26,0
1962,35,0
1963,40,0
1964,42,0
1965,40,0
1966,46,0
1967,42,0
1968,32,0
1969,42,0
1970,34,0
1971,32,0
1972,36,0
1973,51,0
1974,33,0
1975,34,0
1976,38,0
1977,26,0
1978,33,0
1979,32,0
1980,21,0
1981,18,0
1982,15,0
1983,21,0
1984,24,0
1985,23,0
1986,20,0
1987,22,0
1988,15,0
1989,17,0
1990,20,0
1991,21,0
1992,19,0
1993,14,0
1994,16,0
1995,18,0
1996,15,0
1997,12,0
1998,15,0
1999,21,0
2000,17,0
2001,21,0
2002,23,0
2003,20,0
2004,33,0
2005,28,0
2006,23,0
2007,36,0
2008,28,0
2009,34,0
2010,35,0
2011,39,0
2012,53,0
2013,71,0
2014,54,0
2015,63,0
2016,75,0
2017,67,0
2018,62,0
2019,66,0
