year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,5
1927,0,0
1928,0,0
1929,0,0
1930,0,5
1931,0,0
1932,0,0
1933,0,0
1934,0,7
1935,0,0
1936,0,5
1937,0,7
1938,0,10
1939,0,6
1940,0,15
1941,0,6
1942,0,0
1943,0,0
1944,0,0
1945,0,5
1946,0,0
1947,0,0
1948,0,7
1949,0,0
1950,5,5
1951,0,13
1952,0,0
1953,0,8
1954,0,6
1955,0,9
1956,0,6
1957,0,5
1958,0,6
1959,0,0
1960,0,7
1961,5,6
1962,0,8
1963,0,10
1964,0,5
1965,0,0
1966,0,8
1967,0,7
1968,0,0
1969,0,7
1970,0,8
1971,0,6
1972,0,0
1973,0,8
1974,0,5
1975,0,11
1976,0,10
1977,0,10
1978,0,12
1979,0,5
1980,0,7
1981,0,6
1982,0,9
1983,0,7
1984,0,0
1985,0,5
1986,0,5
1987,0,0
1988,0,6
1989,0,10
1990,0,7
1991,0,6
1992,0,0
1993,0,7
1994,0,7
1995,0,5
1996,0,0
1997,0,8
1998,0,11
1999,0,9
2000,0,5
2001,0,10
2002,0,6
2003,0,6
2004,0,6
2005,0,10
2006,0,14
2007,0,6
2008,0,6
2009,0,7
2010,0,13
2011,0,5
2012,0,8
2013,0,9
2014,0,10
2015,0,0
2016,0,7
2017,0,0
2018,0,5
2019,0,8
