year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,5,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,5,0
1919,0,0
1920,5,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,5,0
1942,5,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,6,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,5,0
1953,5,0
1954,7,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,7,0
1963,7,0
1964,6,0
1965,9,0
1966,10,0
1967,0,0
1968,0,0
1969,8,0
1970,6,0
1971,10,0
1972,9,0
1973,7,0
1974,13,0
1975,8,0
1976,14,0
1977,13,0
1978,14,0
1979,15,0
1980,19,0
1981,12,0
1982,8,0
1983,20,0
1984,23,0
1985,15,0
1986,17,0
1987,21,0
1988,14,0
1989,9,0
1990,25,0
1991,17,0
1992,19,0
1993,15,0
1994,23,0
1995,16,0
1996,16,0
1997,17,0
1998,18,0
1999,28,0
2000,42,0
2001,39,0
2002,46,0
2003,69,0
2004,70,0
2005,74,0
2006,123,0
2007,126,0
2008,134,0
2009,141,0
2010,134,0
2011,201,0
2012,209,0
2013,226,0
2014,218,0
2015,206,0
2016,232,0
2017,217,0
2018,196,0
2019,189,0
