year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,5
1890,0,0
1891,0,5
1892,5,5
1893,0,5
1894,0,0
1895,0,0
1896,5,5
1897,0,0
1898,0,5
1899,0,0
1900,0,11
1901,0,0
1902,0,5
1903,0,11
1904,5,0
1905,0,6
1906,5,6
1907,5,0
1908,6,0
1909,0,0
1910,0,5
1911,6,9
1912,0,9
1913,5,11
1914,6,11
1915,8,10
1916,0,10
1917,8,20
1918,7,13
1919,8,7
1920,8,18
1921,5,14
1922,0,16
1923,0,16
1924,0,17
1925,7,14
1926,9,14
1927,0,17
1928,0,15
1929,5,7
1930,0,18
1931,0,21
1932,0,15
1933,0,8
1934,0,10
1935,6,10
1936,0,15
1937,0,5
1938,0,11
1939,0,12
1940,0,8
1941,0,15
1942,0,11
1943,6,8
1944,0,11
1945,0,5
1946,0,6
1947,0,12
1948,0,10
1949,0,12
1950,0,7
1951,5,13
1952,0,7
1953,0,7
1954,0,0
1955,0,10
1956,0,0
1957,0,8
1958,0,8
1959,0,0
1960,0,6
1961,0,9
1962,0,10
1963,0,9
1964,0,5
1965,0,6
1966,0,11
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,5
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
