year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,5
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,6
1903,0,0
1904,0,0
1905,0,8
1906,0,0
1907,0,7
1908,0,5
1909,0,12
1910,0,12
1911,0,13
1912,0,14
1913,0,17
1914,0,31
1915,0,24
1916,0,26
1917,0,40
1918,0,40
1919,0,39
1920,0,52
1921,0,44
1922,0,45
1923,0,48
1924,0,48
1925,0,40
1926,0,60
1927,0,62
1928,0,50
1929,0,59
1930,0,42
1931,0,41
1932,0,43
1933,0,44
1934,0,50
1935,0,59
1936,0,36
1937,0,35
1938,0,38
1939,0,40
1940,0,38
1941,0,42
1942,0,41
1943,0,48
1944,0,57
1945,0,61
1946,0,67
1947,0,52
1948,0,55
1949,0,64
1950,0,66
1951,0,64
1952,0,82
1953,0,81
1954,0,96
1955,0,86
1956,0,85
1957,0,90
1958,0,105
1959,0,122
1960,0,104
1961,0,149
1962,0,140
1963,0,137
1964,0,129
1965,0,124
1966,0,162
1967,0,152
1968,0,144
1969,0,157
1970,0,198
1971,0,220
1972,0,248
1973,0,221
1974,0,268
1975,5,277
1976,0,253
1977,0,256
1978,0,242
1979,0,277
1980,0,345
1981,0,290
1982,7,314
1983,0,266
1984,0,294
1985,0,301
1986,5,310
1987,5,319
1988,0,356
1989,0,399
1990,5,555
1991,6,612
1992,12,601
1993,6,643
1994,0,621
1995,0,570
1996,0,585
1997,0,707
1998,5,1160
1999,5,1231
2000,8,1331
2001,8,1453
2002,5,1460
2003,0,1708
2004,10,1963
2005,7,2145
2006,0,2187
2007,0,2526
2008,5,2345
2009,0,2366
2010,7,2616
2011,0,2641
2012,8,2684
2013,0,2909
2014,5,3449
2015,5,3821
2016,0,4322
2017,0,4127
2018,0,4218
2019,6,4408
