year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,6,0
1886,0,0
1887,0,0
1888,6,0
1889,0,0
1890,0,0
1891,0,0
1892,6,0
1893,6,0
1894,5,0
1895,0,0
1896,6,0
1897,5,0
1898,16,0
1899,9,0
1900,7,0
1901,8,0
1902,10,0
1903,16,0
1904,10,0
1905,7,0
1906,19,0
1907,13,0
1908,15,0
1909,31,0
1910,22,0
1911,26,0
1912,36,0
1913,33,0
1914,37,0
1915,45,0
1916,57,0
1917,47,0
1918,54,0
1919,65,0
1920,68,0
1921,88,0
1922,81,5
1923,78,0
1924,71,0
1925,75,0
1926,85,0
1927,74,0
1928,89,0
1929,90,0
1930,73,0
1931,61,0
1932,46,0
1933,43,0
1934,52,0
1935,57,0
1936,47,0
1937,64,0
1938,48,0
1939,59,0
1940,42,0
1941,39,0
1942,53,0
1943,44,0
1944,49,0
1945,40,0
1946,57,0
1947,58,0
1948,63,0
1949,61,0
1950,66,0
1951,45,0
1952,54,0
1953,68,0
1954,45,0
1955,39,0
1956,58,0
1957,52,0
1958,52,0
1959,70,0
1960,59,0
1961,57,0
1962,62,0
1963,50,0
1964,61,0
1965,64,0
1966,61,0
1967,53,0
1968,71,0
1969,60,0
1970,52,0
1971,69,0
1972,69,0
1973,56,0
1974,52,0
1975,56,0
1976,62,0
1977,61,0
1978,41,0
1979,60,0
1980,48,0
1981,59,0
1982,62,0
1983,39,0
1984,37,0
1985,45,0
1986,41,0
1987,36,0
1988,41,0
1989,39,0
1990,54,0
1991,47,5
1992,53,0
1993,40,0
1994,37,0
1995,51,0
1996,31,0
1997,40,0
1998,44,0
1999,43,0
2000,38,0
2001,30,0
2002,28,0
2003,33,0
2004,19,0
2005,30,0
2006,43,0
2007,42,0
2008,32,0
2009,29,0
2010,32,0
2011,31,0
2012,23,0
2013,28,0
2014,32,0
2015,40,0
2016,43,0
2017,45,0
2018,47,0
2019,41,0
