year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,5,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,6,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,5,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,5,0
1941,10,0
1942,5,0
1943,6,0
1944,10,0
1945,9,0
1946,18,0
1947,15,0
1948,23,0
1949,16,0
1950,35,0
1951,50,0
1952,67,0
1953,98,0
1954,156,0
1955,220,0
1956,303,0
1957,425,0
1958,586,0
1959,533,0
1960,685,0
1961,764,5
1962,771,7
1963,726,0
1964,683,0
1965,699,0
1966,616,0
1967,542,0
1968,453,0
1969,368,0
1970,350,0
1971,270,0
1972,188,0
1973,185,0
1974,144,0
1975,129,0
1976,112,0
1977,109,0
1978,104,0
1979,102,0
1980,79,0
1981,62,0
1982,81,0
1983,55,0
1984,46,0
1985,47,0
1986,43,0
1987,44,0
1988,47,0
1989,43,0
1990,43,0
1991,24,0
1992,26,0
1993,26,0
1994,16,0
1995,19,0
1996,17,0
1997,10,0
1998,12,0
1999,12,0
2000,8,0
2001,5,0
2002,0,0
2003,0,0
2004,7,0
2005,0,0
2006,0,0
2007,6,0
2008,6,0
2009,0,0
2010,0,0
2011,6,0
2012,0,0
2013,0,0
2014,5,0
2015,0,0
2016,0,0
2017,0,0
2018,6,0
2019,0,0
