year,Girls,Boys
1880,8,79
1881,11,92
1882,9,122
1883,7,120
1884,15,125
1885,10,122
1886,8,136
1887,12,166
1888,23,175
1889,23,155
1890,20,181
1891,28,164
1892,22,207
1893,26,185
1894,36,223
1895,22,235
1896,27,237
1897,34,222
1898,24,228
1899,18,181
1900,30,275
1901,29,198
1902,37,251
1903,24,227
1904,30,236
1905,35,237
1906,29,263
1907,34,273
1908,41,279
1909,35,292
1910,52,313
1911,35,323
1912,49,693
1913,52,838
1914,68,1076
1915,88,1409
1916,101,1355
1917,99,1440
1918,127,1644
1919,114,1539
1920,92,1592
1921,126,1647
1922,121,1544
1923,151,1553
1924,142,1664
1925,139,1518
1926,140,1467
1927,126,1441
1928,102,1380
1929,102,1259
1930,132,1239
1931,101,1191
1932,94,1177
1933,123,1168
1934,125,1215
1935,161,1222
1936,179,1251
1937,177,1238
1938,176,1248
1939,179,1294
1940,254,1370
1941,505,1557
1942,834,1734
1943,1138,1917
1944,1201,1971
1945,1704,1975
1946,2139,2138
1947,2358,2305
1948,2305,2214
1949,2417,2207
1950,2328,2133
1951,2542,2298
1952,3574,2359
1953,3905,2284
1954,4147,2233
1955,4403,2229
1956,4385,2049
1957,6101,2103
1958,6010,1938
1959,5649,1755
1960,5239,1675
1961,5669,1619
1962,5783,1652
1963,5858,1556
1964,5600,1446
1965,4876,1418
1966,4998,1239
1967,5318,1062
1968,5284,1012
1969,5834,1043
1970,5623,1013
1971,5109,986
1972,4181,839
1973,3953,791
1974,4464,691
1975,4105,680
1976,4310,534
1977,4250,608
1978,4342,524
1979,4498,529
1980,4776,507
1981,4934,500
1982,4985,431
1983,4250,414
1984,3815,367
1985,3606,331
1986,3221,380
1987,3195,290
1988,3080,318
1989,2864,327
1990,2828,295
1991,2551,279
1992,2482,216
1993,2294,200
1994,2397,207
1995,2312,186
1996,2664,175
1997,2821,158
1998,3079,123
1999,3341,120
2000,3623,137
2001,3613,125
2002,3522,96
2003,3639,101
2004,3499,90
2005,3122,102
2006,3036,82
2007,2690,82
2008,2325,76
2009,1981,76
2010,1565,47
2011,1285,54
2012,1224,50
2013,1111,36
2014,1000,61
2015,879,55
2016,804,45
2017,703,45
2018,599,37
2019,570,50
