year,Boys,Girls
1880,0,109
1881,0,87
1882,0,134
1883,0,116
1884,0,123
1885,0,141
1886,6,160
1887,0,168
1888,0,189
1889,5,213
1890,5,226
1891,0,191
1892,10,240
1893,5,243
1894,0,291
1895,5,295
1896,8,318
1897,8,310
1898,9,298
1899,10,290
1900,10,431
1901,6,332
1902,13,385
1903,8,400
1904,11,398
1905,18,432
1906,6,482
1907,9,491
1908,13,509
1909,10,501
1910,10,556
1911,7,657
1912,20,1443
1913,17,1736
1914,12,2164
1915,28,2943
1916,23,2907
1917,35,2854
1918,36,3229
1919,35,3020
1920,33,3068
1921,33,3076
1922,37,2951
1923,36,2766
1924,34,2779
1925,22,2559
1926,31,2536
1927,40,2441
1928,33,2230
1929,30,2106
1930,24,2020
1931,24,1919
1932,18,1813
1933,19,1644
1934,18,1687
1935,18,1626
1936,17,1546
1937,12,1577
1938,18,1603
1939,12,1550
1940,19,1590
1941,16,1563
1942,14,1751
1943,20,1764
1944,13,1649
1945,13,1618
1946,10,1669
1947,15,1944
1948,13,1782
1949,15,1751
1950,14,1760
1951,13,1722
1952,20,1724
1953,16,1778
1954,17,1758
1955,15,1687
1956,14,1702
1957,9,1639
1958,14,1458
1959,15,1335
1960,12,1313
1961,12,1288
1962,8,1114
1963,16,1102
1964,13,999
1965,8,955
1966,8,772
1967,8,731
1968,0,747
1969,9,718
1970,9,681
1971,0,630
1972,7,588
1973,5,505
1974,0,471
1975,0,497
1976,6,476
1977,7,453
1978,5,387
1979,7,422
1980,6,466
1981,0,437
1982,0,399
1983,0,398
1984,5,346
1985,6,321
1986,0,302
1987,0,277
1988,0,309
1989,0,314
1990,0,260
1991,0,287
1992,0,251
1993,0,251
1994,0,207
1995,0,179
1996,0,172
1997,0,166
1998,0,133
1999,0,172
2000,0,140
2001,0,141
2002,0,134
2003,0,145
2004,0,136
2005,0,126
2006,0,143
2007,0,116
2008,0,139
2009,0,126
2010,0,118
2011,0,102
2012,0,103
2013,0,123
2014,0,106
2015,0,102
2016,0,105
2017,0,85
2018,0,93
2019,0,97
