year,F,M
1880,0,6
1881,0,7
1882,0,9
1883,0,7
1884,0,7
1885,0,8
1886,0,9
1887,5,7
1888,0,13
1889,0,8
1890,0,13
1891,0,7
1892,0,14
1893,0,5
1894,0,15
1895,0,15
1896,0,11
1897,0,14
1898,0,10
1899,0,7
1900,0,17
1901,0,10
1902,0,9
1903,0,8
1904,0,8
1905,0,9
1906,0,14
1907,0,20
1908,0,10
1909,0,9
1910,0,19
1911,0,19
1912,0,25
1913,0,21
1914,0,25
1915,0,42
1916,0,32
1917,0,39
1918,0,51
1919,0,51
1920,0,50
1921,0,46
1922,0,54
1923,0,43
1924,0,39
1925,0,42
1926,0,44
1927,0,36
1928,0,38
1929,0,32
1930,0,29
1931,0,40
1932,0,25
1933,0,19
1934,0,20
1935,0,38
1936,0,22
1937,0,28
1938,0,32
1939,0,21
1940,0,23
1941,0,22
1942,0,19
1943,0,34
1944,0,27
1945,0,26
1946,0,18
1947,0,24
1948,0,20
1949,0,39
1950,0,32
1951,0,30
1952,0,32
1953,0,22
1954,0,22
1955,0,22
1956,0,29
1957,0,17
1958,0,22
1959,0,25
1960,0,21
1961,0,20
1962,0,15
1963,0,18
1964,0,20
1965,0,17
1966,0,15
1967,0,23
1968,0,12
1969,0,18
1970,0,14
1971,0,13
1972,0,17
1973,0,12
1974,0,15
1975,0,16
1976,0,25
1977,0,16
1978,0,14
1979,0,17
1980,0,25
1981,0,23
1982,0,18
1983,0,17
1984,0,23
1985,0,20
1986,0,17
1987,0,20
1988,0,28
1989,0,22
1990,0,21
1991,0,19
1992,0,27
1993,0,28
1994,0,22
1995,0,15
1996,0,27
1997,0,17
1998,0,22
1999,0,24
2000,0,20
2001,0,28
2002,0,26
2003,0,17
2004,0,27
2005,0,30
2006,5,33
2007,0,24
2008,0,30
2009,0,31
2010,0,35
2011,0,48
2012,12,46
2013,0,41
2014,5,49
2015,8,47
2016,15,56
2017,16,59
2018,18,66
2019,20,55
