year,Boys,Girls
1880,0,20
1881,0,9
1882,0,16
1883,0,11
1884,0,15
1885,0,18
1886,0,7
1887,0,13
1888,0,9
1889,0,9
1890,0,9
1891,0,9
1892,0,11
1893,0,8
1894,0,9
1895,0,9
1896,0,11
1897,0,0
1898,0,0
1899,0,0
1900,0,7
1901,0,6
1902,0,10
1903,0,5
1904,0,6
1905,0,5
1906,0,0
1907,0,8
1908,0,17
1909,0,5
1910,0,9
1911,0,10
1912,0,21
1913,0,18
1914,0,20
1915,0,26
1916,0,29
1917,0,33
1918,0,32
1919,0,14
1920,0,19
1921,0,29
1922,0,20
1923,0,25
1924,0,28
1925,0,34
1926,0,24
1927,0,22
1928,0,15
1929,5,22
1930,0,26
1931,0,35
1932,0,31
1933,0,28
1934,0,31
1935,0,30
1936,0,30
1937,0,28
1938,0,31
1939,0,30
1940,0,33
1941,0,35
1942,0,27
1943,0,31
1944,0,28
1945,0,30
1946,0,36
1947,0,42
1948,0,25
1949,0,26
1950,0,33
1951,0,32
1952,0,35
1953,0,37
1954,0,31
1955,0,35
1956,5,35
1957,5,54
1958,0,47
1959,0,55
1960,0,37
1961,0,34
1962,0,32
1963,0,29
1964,0,18
1965,0,23
1966,0,11
1967,0,20
1968,0,22
1969,0,23
1970,0,21
1971,0,15
1972,0,12
1973,0,11
1974,0,7
1975,0,10
1976,0,8
1977,0,6
1978,0,8
1979,0,8
1980,0,12
1981,0,12
1982,0,6
1983,0,10
1984,0,5
1985,0,0
1986,0,10
1987,0,6
1988,0,6
1989,0,5
1990,0,0
1991,0,8
1992,0,5
1993,0,0
1994,0,0
1995,0,0
1996,0,5
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,6
2017,0,0
2018,0,0
2019,0,0
