year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,5
1948,0,0
1949,0,0
1950,0,10
1951,0,0
1952,0,0
1953,0,0
1954,0,8
1955,0,12
1956,0,18
1957,0,28
1958,0,24
1959,0,17
1960,0,24
1961,0,27
1962,0,24
1963,0,43
1964,0,38
1965,0,37
1966,0,47
1967,0,60
1968,0,54
1969,0,50
1970,0,49
1971,0,58
1972,0,66
1973,0,63
1974,0,73
1975,0,81
1976,0,72
1977,0,96
1978,0,112
1979,0,119
1980,0,114
1981,0,123
1982,0,157
1983,0,145
1984,0,146
1985,0,149
1986,0,151
1987,0,149
1988,0,170
1989,0,224
1990,0,277
1991,0,272
1992,0,302
1993,0,399
1994,0,668
1995,7,1205
1996,0,1747
1997,0,2112
1998,0,2209
1999,8,2708
2000,12,2780
2001,0,3028
2002,0,3381
2003,17,3565
2004,15,3827
2005,9,4150
2006,11,4513
2007,11,5139
2008,11,5979
2009,21,8565
2010,22,10928
2011,13,13439
2012,23,16807
2013,22,18143
2014,32,18465
2015,21,18385
2016,19,18231
2017,38,18821
2018,24,19915
2019,30,20502
