year,Boys,Girls
1880,19,0
1881,20,0
1882,15,0
1883,15,0
1884,20,0
1885,18,0
1886,22,0
1887,21,0
1888,30,0
1889,24,0
1890,24,0
1891,16,0
1892,27,0
1893,29,0
1894,21,0
1895,22,0
1896,23,0
1897,28,0
1898,18,0
1899,20,0
1900,23,0
1901,14,0
1902,19,0
1903,13,0
1904,19,0
1905,29,0
1906,31,0
1907,9,0
1908,17,0
1909,22,0
1910,20,0
1911,20,0
1912,31,0
1913,46,0
1914,33,0
1915,49,0
1916,45,0
1917,48,0
1918,34,0
1919,36,0
1920,33,0
1921,32,0
1922,29,0
1923,19,0
1924,23,0
1925,17,0
1926,20,0
1927,16,0
1928,23,0
1929,19,0
1930,9,0
1931,10,0
1932,15,0
1933,17,0
1934,15,0
1935,10,0
1936,0,0
1937,10,0
1938,5,0
1939,14,0
1940,10,0
1941,16,0
1942,10,0
1943,9,0
1944,11,0
1945,9,0
1946,16,0
1947,20,0
1948,14,0
1949,14,0
1950,16,0
1951,19,0
1952,19,0
1953,11,0
1954,14,0
1955,12,0
1956,23,0
1957,18,0
1958,12,0
1959,17,0
1960,10,0
1961,20,0
1962,15,0
1963,9,0
1964,19,0
1965,10,0
1966,8,0
1967,17,0
1968,21,0
1969,11,0
1970,8,0
1971,7,0
1972,8,0
1973,9,0
1974,8,0
1975,11,0
1976,9,0
1977,14,0
1978,5,0
1979,0,0
1980,6,0
1981,5,0
1982,0,0
1983,7,0
1984,5,0
1985,6,0
1986,8,0
1987,5,0
1988,5,0
1989,9,0
1990,6,0
1991,0,0
1992,6,0
1993,12,0
1994,13,0
1995,11,0
1996,14,0
1997,19,0
1998,18,0
1999,12,0
2000,16,0
2001,26,0
2002,20,0
2003,30,0
2004,31,0
2005,40,0
2006,26,0
2007,32,0
2008,26,0
2009,31,0
2010,21,0
2011,22,0
2012,26,0
2013,24,0
2014,15,0
2015,19,0
2016,13,0
2017,15,0
2018,8,0
2019,16,0
