year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,5,0
1895,0,0
1896,0,0
1897,0,0
1898,7,0
1899,0,0
1900,8,0
1901,10,0
1902,9,0
1903,13,0
1904,14,0
1905,12,0
1906,10,0
1907,11,0
1908,12,0
1909,17,0
1910,15,0
1911,16,0
1912,35,0
1913,42,0
1914,28,0
1915,39,0
1916,47,0
1917,43,0
1918,53,0
1919,42,0
1920,24,0
1921,25,0
1922,9,0
1923,24,0
1924,25,0
1925,16,0
1926,19,0
1927,23,0
1928,16,0
1929,17,0
1930,13,0
1931,20,0
1932,19,0
1933,25,0
1934,17,0
1935,27,0
1936,20,0
1937,21,0
1938,33,0
1939,37,0
1940,46,0
1941,44,0
1942,63,0
1943,86,0
1944,70,0
1945,101,0
1946,106,0
1947,99,0
1948,102,0
1949,105,0
1950,108,0
1951,113,0
1952,104,0
1953,107,0
1954,104,0
1955,103,0
1956,96,0
1957,93,0
1958,80,0
1959,82,0
1960,75,0
1961,74,0
1962,81,0
1963,69,0
1964,78,0
1965,71,0
1966,64,0
1967,52,0
1968,56,0
1969,62,0
1970,61,0
1971,78,0
1972,47,0
1973,60,0
1974,50,0
1975,80,0
1976,73,0
1977,74,0
1978,87,0
1979,90,0
1980,83,0
1981,115,0
1982,111,0
1983,90,0
1984,80,0
1985,86,0
1986,99,0
1987,83,0
1988,98,0
1989,92,0
1990,115,0
1991,123,0
1992,126,0
1993,118,0
1994,121,0
1995,112,0
1996,123,0
1997,117,0
1998,127,0
1999,117,0
2000,124,0
2001,106,0
2002,126,0
2003,143,0
2004,130,0
2005,137,0
2006,160,0
2007,143,0
2008,149,0
2009,140,0
2010,147,0
2011,130,0
2012,147,0
2013,161,0
2014,157,0
2015,177,0
2016,158,0
2017,154,0
2018,154,0
2019,125,0
