year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,5,0
1884,0,0
1885,6,0
1886,6,0
1887,5,0
1888,0,0
1889,11,0
1890,0,0
1891,6,0
1892,0,0
1893,0,0
1894,8,0
1895,0,0
1896,7,0
1897,7,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,7,0
1903,0,0
1904,0,0
1905,5,0
1906,5,0
1907,8,0
1908,11,0
1909,0,0
1910,5,0
1911,10,0
1912,21,0
1913,13,0
1914,21,0
1915,22,0
1916,33,0
1917,36,0
1918,25,0
1919,45,0
1920,39,0
1921,31,0
1922,50,0
1923,40,0
1924,39,0
1925,23,0
1926,33,0
1927,36,0
1928,32,0
1929,35,0
1930,28,0
1931,27,0
1932,24,0
1933,26,0
1934,35,0
1935,30,0
1936,37,0
1937,28,0
1938,41,0
1939,25,0
1940,37,0
1941,25,0
1942,44,0
1943,38,0
1944,24,0
1945,24,0
1946,47,0
1947,44,0
1948,41,0
1949,41,0
1950,37,0
1951,31,0
1952,38,0
1953,31,0
1954,37,0
1955,30,0
1956,38,0
1957,24,0
1958,20,0
1959,22,0
1960,31,0
1961,8,0
1962,28,0
1963,27,0
1964,24,0
1965,16,0
1966,14,0
1967,19,0
1968,25,0
1969,20,0
1970,25,0
1971,16,0
1972,18,0
1973,16,0
1974,13,0
1975,16,0
1976,11,0
1977,16,0
1978,10,0
1979,12,0
1980,14,0
1981,14,0
1982,21,0
1983,15,0
1984,12,0
1985,8,0
1986,19,0
1987,9,0
1988,13,0
1989,15,0
1990,7,0
1991,11,0
1992,14,0
1993,0,0
1994,10,0
1995,0,0
1996,12,0
1997,6,0
1998,14,0
1999,5,0
2000,11,0
2001,7,0
2002,0,0
2003,5,0
2004,5,0
2005,0,0
2006,8,0
2007,7,0
2008,0,0
2009,5,0
2010,8,0
2011,6,0
2012,6,0
2013,8,0
2014,0,0
2015,6,0
2016,6,0
2017,8,0
2018,0,0
2019,8,0
