year,Girls,Boys
1880,0,104
1881,0,87
1882,0,121
1883,0,98
1884,0,122
1885,0,109
1886,0,144
1887,0,127
1888,0,175
1889,0,167
1890,0,182
1891,0,185
1892,0,268
1893,0,211
1894,0,253
1895,0,263
1896,0,308
1897,0,258
1898,0,265
1899,0,287
1900,0,337
1901,0,285
1902,0,344
1903,6,299
1904,0,324
1905,0,369
1906,8,357
1907,0,386
1908,0,394
1909,7,412
1910,6,545
1911,10,590
1912,11,1227
1913,13,1521
1914,13,1884
1915,25,2653
1916,25,2926
1917,18,3417
1918,23,3742
1919,31,3238
1920,22,3454
1921,17,3537
1922,25,3365
1923,28,3386
1924,24,3350
1925,31,3324
1926,29,3279
1927,22,3324
1928,32,3161
1929,25,2947
1930,37,2837
1931,22,2704
1932,25,2588
1933,21,2416
1934,21,2339
1935,22,2295
1936,16,2159
1937,19,2155
1938,10,2215
1939,10,2087
1940,11,2067
1941,14,2252
1942,12,2462
1943,16,2444
1944,11,2309
1945,8,2220
1946,15,2496
1947,7,2629
1948,9,2389
1949,17,2331
1950,10,2120
1951,8,2300
1952,8,2277
1953,7,2168
1954,6,2115
1955,12,2030
1956,14,1980
1957,9,1920
1958,9,1838
1959,10,1872
1960,5,1730
1961,6,1687
1962,8,1537
1963,6,1548
1964,5,1461
1965,0,1295
1966,9,1116
1967,9,1081
1968,8,1003
1969,8,968
1970,0,991
1971,0,947
1972,0,752
1973,6,695
1974,0,632
1975,5,638
1976,7,533
1977,0,559
1978,0,517
1979,5,553
1980,11,561
1981,5,559
1982,0,506
1983,6,473
1984,7,431
1985,0,448
1986,8,410
1987,8,419
1988,0,388
1989,0,405
1990,0,391
1991,0,342
1992,0,343
1993,0,289
1994,0,290
1995,0,254
1996,0,210
1997,0,227
1998,0,165
1999,0,187
2000,0,166
2001,0,174
2002,0,158
2003,0,133
2004,0,136
2005,0,142
2006,0,162
2007,0,152
2008,0,162
2009,0,131
2010,0,127
2011,0,147
2012,0,128
2013,0,136
2014,0,120
2015,0,110
2016,0,111
2017,0,103
2018,0,117
2019,0,101
