year,Boys,Girls
1880,0,0
1881,0,0
1882,6,0
1883,0,0
1884,9,0
1885,5,0
1886,7,0
1887,6,0
1888,20,0
1889,20,0
1890,25,0
1891,21,0
1892,31,0
1893,28,0
1894,36,0
1895,48,0
1896,45,0
1897,56,0
1898,75,0
1899,75,0
1900,118,0
1901,101,5
1902,103,0
1903,125,0
1904,126,0
1905,149,5
1906,159,0
1907,192,0
1908,253,0
1909,269,0
1910,310,0
1911,365,0
1912,554,6
1913,724,9
1914,969,18
1915,1323,14
1916,1671,16
1917,1961,20
1918,3876,28
1919,3976,30
1920,3928,23
1921,4533,30
1922,4668,23
1923,4764,21
1924,5109,26
1925,4983,30
1926,4890,24
1927,5728,28
1928,5982,23
1929,5352,31
1930,5167,40
1931,4588,22
1932,4163,24
1933,3796,20
1934,3774,20
1935,3403,26
1936,3171,19
1937,2938,19
1938,2741,21
1939,2591,14
1940,2580,16
1941,2687,24
1942,3010,14
1943,3017,17
1944,3044,12
1945,3207,14
1946,3887,11
1947,4411,5
1948,3745,14
1949,3458,9
1950,3345,10
1951,3483,6
1952,3465,7
1953,3310,9
1954,3465,13
1955,3373,7
1956,3427,5
1957,3418,13
1958,3160,8
1959,3139,5
1960,3335,7
1961,3113,11
1962,2949,7
1963,2593,6
1964,2356,16
1965,2059,7
1966,1743,5
1967,1522,5
1968,1330,5
1969,1248,0
1970,1159,0
1971,977,0
1972,774,0
1973,733,0
1974,634,0
1975,656,0
1976,544,0
1977,494,5
1978,507,0
1979,523,0
1980,501,0
1981,490,0
1982,471,0
1983,431,0
1984,379,0
1985,413,0
1986,356,0
1987,374,0
1988,363,0
1989,331,7
1990,341,0
1991,306,0
1992,279,0
1993,278,0
1994,214,0
1995,216,0
1996,185,0
1997,159,0
1998,143,0
1999,151,0
2000,164,0
2001,125,0
2002,118,0
2003,130,0
2004,128,0
2005,97,0
2006,110,0
2007,158,0
2008,122,0
2009,100,0
2010,82,0
2011,108,0
2012,87,0
2013,123,0
2014,115,0
2015,122,0
2016,143,0
2017,137,0
2018,137,0
2019,158,0
