year,Boys,Girls
1880,0,0
1881,0,5
1882,0,10
1883,0,8
1884,0,0
1885,0,9
1886,0,11
1887,0,9
1888,0,9
1889,0,19
1890,0,22
1891,0,12
1892,0,11
1893,0,15
1894,0,17
1895,0,28
1896,0,29
1897,0,25
1898,0,28
1899,0,43
1900,0,35
1901,0,24
1902,0,28
1903,0,40
1904,0,32
1905,0,55
1906,0,54
1907,0,53
1908,0,60
1909,7,58
1910,0,71
1911,0,104
1912,8,225
1913,7,322
1914,7,390
1915,11,536
1916,0,529
1917,16,551
1918,14,555
1919,11,608
1920,12,670
1921,14,690
1922,11,698
1923,8,710
1924,15,819
1925,11,709
1926,16,726
1927,10,756
1928,10,758
1929,12,701
1930,0,721
1931,10,1090
1932,11,1047
1933,9,880
1934,9,1033
1935,8,994
1936,7,1022
1937,7,982
1938,0,966
1939,6,924
1940,6,870
1941,6,865
1942,5,884
1943,0,807
1944,0,720
1945,7,603
1946,7,650
1947,6,670
1948,5,623
1949,5,635
1950,0,572
1951,0,566
1952,0,488
1953,5,491
1954,0,471
1955,5,470
1956,0,507
1957,7,448
1958,0,449
1959,6,456
1960,0,431
1961,0,391
1962,0,418
1963,0,358
1964,0,353
1965,0,323
1966,0,292
1967,0,272
1968,0,299
1969,0,234
1970,0,239
1971,0,212
1972,0,152
1973,0,155
1974,0,129
1975,0,130
1976,0,145
1977,0,124
1978,0,118
1979,0,131
1980,0,108
1981,5,102
1982,0,123
1983,0,90
1984,0,97
1985,0,102
1986,5,95
1987,0,83
1988,0,93
1989,0,96
1990,0,100
1991,0,86
1992,0,81
1993,0,70
1994,0,50
1995,0,65
1996,0,59
1997,0,50
1998,0,49
1999,0,59
2000,0,55
2001,0,30
2002,0,33
2003,0,38
2004,0,32
2005,0,37
2006,0,38
2007,0,39
2008,0,40
2009,0,40
2010,0,28
2011,0,29
2012,0,46
2013,0,38
2014,0,37
2015,0,46
2016,0,42
2017,0,37
2018,0,43
2019,0,41
