year,Boys,Girls
1880,111,0
1881,141,0
1882,117,0
1883,120,0
1884,158,0
1885,131,0
1886,136,0
1887,127,0
1888,171,0
1889,172,0
1890,184,0
1891,163,0
1892,207,0
1893,199,0
1894,228,0
1895,227,0
1896,230,0
1897,206,0
1898,261,0
1899,246,0
1900,268,0
1901,239,0
1902,262,0
1903,286,0
1904,246,0
1905,287,0
1906,291,0
1907,355,0
1908,336,0
1909,325,0
1910,374,0
1911,352,0
1912,483,0
1913,519,0
1914,604,0
1915,783,0
1916,837,5
1917,842,0
1918,949,0
1919,905,0
1920,852,0
1921,887,0
1922,861,0
1923,821,0
1924,776,0
1925,761,6
1926,640,0
1927,723,0
1928,661,0
1929,660,5
1930,597,0
1931,576,0
1932,495,0
1933,428,0
1934,388,0
1935,363,0
1936,338,0
1937,345,0
1938,294,0
1939,276,0
1940,251,0
1941,236,0
1942,216,0
1943,214,0
1944,181,0
1945,139,0
1946,172,0
1947,157,0
1948,183,0
1949,156,0
1950,127,0
1951,118,0
1952,93,0
1953,92,0
1954,101,0
1955,105,0
1956,85,0
1957,88,0
1958,67,0
1959,71,0
1960,79,0
1961,64,0
1962,68,0
1963,50,0
1964,52,0
1965,45,0
1966,46,0
1967,40,0
1968,23,0
1969,34,0
1970,35,0
1971,19,0
1972,30,0
1973,23,0
1974,16,0
1975,18,0
1976,18,0
1977,18,0
1978,23,0
1979,12,0
1980,15,0
1981,16,0
1982,18,0
1983,11,0
1984,12,0
1985,10,0
1986,7,0
1987,16,0
1988,13,0
1989,14,0
1990,14,0
1991,6,0
1992,6,0
1993,6,0
1994,12,0
1995,12,0
1996,12,0
1997,11,0
1998,11,0
1999,9,0
2000,14,0
2001,9,0
2002,13,0
2003,17,0
2004,32,0
2005,34,0
2006,57,0
2007,53,0
2008,79,0
2009,86,0
2010,102,0
2011,93,0
2012,108,0
2013,122,0
2014,148,0
2015,176,0
2016,206,0
2017,294,0
2018,278,0
2019,280,0
