year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,5,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,5,0
1933,8,0
1934,0,0
1935,5,0
1936,0,0
1937,6,0
1938,0,0
1939,0,0
1940,9,0
1941,0,0
1942,0,0
1943,0,0
1944,8,0
1945,10,0
1946,19,0
1947,21,0
1948,29,0
1949,21,0
1950,28,0
1951,19,0
1952,19,0
1953,21,0
1954,34,0
1955,33,0
1956,77,0
1957,61,0
1958,45,0
1959,48,0
1960,44,0
1961,29,0
1962,62,0
1963,48,0
1964,75,0
1965,80,0
1966,78,0
1967,79,0
1968,62,0
1969,57,0
1970,66,0
1971,83,0
1972,46,0
1973,28,0
1974,38,0
1975,29,0
1976,24,0
1977,17,0
1978,21,0
1979,34,0
1980,32,0
1981,24,0
1982,33,0
1983,27,0
1984,29,0
1985,29,0
1986,18,0
1987,11,0
1988,16,0
1989,15,0
1990,18,0
1991,13,0
1992,17,0
1993,23,0
1994,11,0
1995,13,0
1996,13,0
1997,11,0
1998,14,0
1999,16,0
2000,15,0
2001,9,0
2002,15,0
2003,21,0
2004,21,0
2005,12,0
2006,20,0
2007,21,0
2008,16,0
2009,15,0
2010,18,0
2011,17,0
2012,21,0
2013,13,0
2014,18,0
2015,18,0
2016,16,0
2017,16,0
2018,15,0
2019,8,0
