year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,5,0
1894,5,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,6,0
1915,8,0
1916,0,0
1917,8,0
1918,0,0
1919,9,0
1920,0,0
1921,11,0
1922,0,0
1923,6,0
1924,0,0
1925,0,0
1926,6,0
1927,6,0
1928,14,0
1929,0,0
1930,5,0
1931,0,0
1932,6,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,6,0
1947,5,0
1948,9,0
1949,0,0
1950,0,0
1951,0,0
1952,7,0
1953,0,0
1954,0,0
1955,0,0
1956,7,0
1957,0,0
1958,5,0
1959,0,0
1960,8,0
1961,0,0
1962,0,0
1963,9,0
1964,0,0
1965,0,0
1966,10,0
1967,5,0
1968,7,0
1969,0,0
1970,8,0
1971,9,0
1972,16,0
1973,5,0
1974,16,0
1975,12,0
1976,12,0
1977,12,0
1978,9,0
1979,9,0
1980,20,0
1981,19,0
1982,14,0
1983,8,0
1984,8,0
1985,9,0
1986,8,0
1987,9,0
1988,10,0
1989,9,0
1990,7,0
1991,0,0
1992,5,0
1993,12,0
1994,0,0
1995,10,0
1996,14,0
1997,14,0
1998,8,0
1999,17,0
2000,19,0
2001,29,0
2002,28,0
2003,26,0
2004,45,0
2005,50,0
2006,62,0
2007,67,0
2008,200,0
2009,233,0
2010,218,0
2011,243,0
2012,247,0
2013,250,0
2014,249,0
2015,276,0
2016,297,0
2017,396,0
2018,429,0
2019,428,0
