year,Boys,Girls
1880,0,0
1881,5,0
1882,0,0
1883,6,0
1884,14,0
1885,8,0
1886,11,0
1887,21,0
1888,25,0
1889,14,0
1890,32,0
1891,38,0
1892,39,0
1893,35,0
1894,48,0
1895,52,0
1896,48,0
1897,43,0
1898,47,0
1899,51,0
1900,58,0
1901,45,0
1902,44,0
1903,52,0
1904,51,0
1905,41,0
1906,57,0
1907,41,0
1908,51,0
1909,66,0
1910,52,0
1911,76,0
1912,130,0
1913,118,0
1914,157,0
1915,177,0
1916,157,0
1917,160,0
1918,180,0
1919,166,0
1920,225,0
1921,242,0
1922,237,0
1923,202,0
1924,224,0
1925,223,0
1926,222,0
1927,202,0
1928,172,0
1929,172,0
1930,135,0
1931,132,0
1932,114,0
1933,122,0
1934,101,0
1935,102,0
1936,116,0
1937,150,0
1938,166,0
1939,192,0
1940,194,0
1941,208,0
1942,285,0
1943,219,0
1944,138,0
1945,157,0
1946,186,0
1947,217,0
1948,231,0
1949,217,0
1950,186,0
1951,149,0
1952,146,0
1953,144,0
1954,123,0
1955,128,0
1956,127,0
1957,111,0
1958,96,0
1959,126,0
1960,100,0
1961,111,0
1962,110,0
1963,103,0
1964,82,0
1965,82,0
1966,65,0
1967,63,0
1968,45,0
1969,44,0
1970,38,0
1971,41,0
1972,40,0
1973,39,0
1974,41,0
1975,42,0
1976,32,0
1977,40,0
1978,41,0
1979,46,0
1980,54,0
1981,47,0
1982,45,0
1983,69,0
1984,74,0
1985,96,0
1986,165,0
1987,217,0
1988,241,0
1989,278,10
1990,402,0
1991,473,0
1992,527,0
1993,662,0
1994,923,0
1995,987,0
1996,1086,0
1997,1301,0
1998,1424,0
1999,1141,0
2000,1153,0
2001,1118,0
2002,1069,0
2003,963,0
2004,959,0
2005,968,0
2006,980,0
2007,1162,0
2008,1252,0
2009,1000,0
2010,993,0
2011,980,0
2012,1091,0
2013,1143,0
2014,1149,5
2015,1067,0
2016,955,0
2017,847,0
2018,831,0
2019,856,0
