year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,5,0
1894,10,0
1895,6,0
1896,6,0
1897,5,0
1898,10,0
1899,10,0
1900,12,0
1901,0,0
1902,9,0
1903,7,0
1904,13,0
1905,7,0
1906,11,0
1907,11,0
1908,10,0
1909,12,0
1910,19,0
1911,18,0
1912,18,0
1913,30,0
1914,42,0
1915,44,0
1916,49,0
1917,44,0
1918,55,0
1919,46,0
1920,52,0
1921,57,0
1922,42,0
1923,53,0
1924,52,0
1925,40,0
1926,38,0
1927,29,0
1928,30,0
1929,19,0
1930,25,0
1931,26,0
1932,27,0
1933,23,0
1934,19,0
1935,25,0
1936,18,0
1937,24,0
1938,26,0
1939,32,0
1940,22,0
1941,23,0
1942,23,0
1943,24,0
1944,13,0
1945,15,0
1946,19,0
1947,31,0
1948,31,0
1949,30,0
1950,23,0
1951,20,0
1952,16,0
1953,21,0
1954,25,0
1955,22,0
1956,22,0
1957,32,0
1958,39,0
1959,39,0
1960,18,0
1961,26,0
1962,15,0
1963,31,0
1964,20,0
1965,20,0
1966,26,0
1967,29,0
1968,18,0
1969,19,0
1970,21,0
1971,21,0
1972,12,0
1973,24,0
1974,19,0
1975,17,0
1976,10,0
1977,10,0
1978,14,0
1979,10,0
1980,11,0
1981,0,0
1982,5,0
1983,6,0
1984,7,0
1985,0,0
1986,7,0
1987,11,0
1988,10,0
1989,10,0
1990,21,0
1991,16,0
1992,15,0
1993,17,0
1994,23,0
1995,36,0
1996,30,0
1997,22,0
1998,29,0
1999,36,0
2000,26,0
2001,23,0
2002,20,0
2003,23,0
2004,18,0
2005,22,0
2006,17,0
2007,24,0
2008,18,0
2009,19,0
2010,18,0
2011,16,0
2012,10,0
2013,13,0
2014,12,0
2015,9,0
2016,7,0
2017,5,0
2018,6,0
2019,10,0
